SQL_Statement,Equivalent_Queries,Equivalent or not,Modification_Method,Original,gpt4,gpt4_type,gpt3.5,gpt3.5_type,llama3,llama3_type,mistralai,mistralai_type,gemini,gemini_type
"SELECT  *, 801 AS FileNumber FROM  [446].[Protein_Groups_N_Pacific_801bacteria_annotation.csv] UNION ALL SELECT  *, 802 AS FileNumber FROM  [446].[Protein_Groups_N_Pacific_802bacteria_annotation.csv] UNION ALL SELECT  *, 803 AS FileNumber FROM  [446].[Protein_Groups_N_Pacific_803bacteria_annotation.csv]","SELECT * FROM (
    SELECT *, 801 AS FileNumber FROM [446].[Protein_Groups_N_Pacific_801bacteria_annotation.csv]
) AS SubQuery1
UNION ALL
SELECT * FROM (
    SELECT *, 802 AS FileNumber FROM [446].[Protein_Groups_N_Pacific_802bacteria_annotation.csv]
) AS SubQuery2
UNION ALL
SELECT * FROM (
    SELECT *, 803 AS FileNumber FROM [446].[Protein_Groups_N_Pacific_803bacteria_annotation.csv]
) AS SubQuery3",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested
"SELECT  DISTINCT CASE WHEN PATINDEX('%[0-9]%',  [protein]) = 1 -- first char is number AND  CHARINDEX(', ',  [protein]) = 0 -- AND  no comma present THEN [protein] ELSE SUBSTRING([protein], PATINDEX('%[0-9]%',  [protein]),  -- start at first number CHARINDEX(', ',  [protein])-PATINDEX('%[0-9]%',  [protein])) -- length END AS [protein D2] ,  [tot indep spectra] AS [tot spectra D2] FROM  [412].[D2_trip_files_169_170_171.prot.txt]","SELECT DISTINCT
    subquery.[protein D2],
    subquery.[tot spectra D2]
FROM (
    SELECT
        CASE 
            WHEN PATINDEX('%[0-9]%', [protein]) = 1 AND CHARINDEX(', ', [protein]) = 0 THEN [protein]
            ELSE SUBSTRING([protein], PATINDEX('%[0-9]%', [protein]), CHARINDEX(', ', [protein]) - PATINDEX('%[0-9]%', [protein]))
        END AS [protein D2],
        [tot indep spectra] AS [tot spectra D2]
    FROM [412].[D2_trip_files_169_170_171.prot.txt]
) AS subquery",Equivalent,Join_Nested,YES,YES,Join_Nested,YES,Join_Nested,YES,Join_Nested,YES,Join_Nested,YES,Join_Nested
SELECT  * FROM  [446].[uw_salaries_2011.txt] WHERE  Column6 IS NULL,"SELECT *
FROM (
    SELECT * FROM [446].[uw_salaries_2011.txt]
    WHERE Column6 IS NULL
) AS FilteredData;",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested
SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [412].[103B_245_01.txt] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[103B_245_01.txt].proteinCG245_01 LEFT JOIN  [412].[103B_245_02.txt] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[103B_245_02.txt].proteinCG245_02 LEFT JOIN  [412].[103B_245_03.txt] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[103B_245_03.txt].proteinCG245_03,"SELECT 
    p.*,
    CASE 
        WHEN b1.proteinCG245_01 IS NOT NULL THEN b1.proteinCG245_01 
        WHEN b2.proteinCG245_02 IS NOT NULL THEN b2.proteinCG245_02 
        WHEN b3.proteinCG245_03 IS NOT NULL THEN b3.proteinCG245_03 
        ELSE 'No Match Found' 
    END AS MatchedProtein
FROM 
    [412].[all sequenced proteins all treatments.txt] p
LEFT JOIN 
    [412].[103B_245_01.txt] b1 ON p.[All Proteins] = b1.proteinCG245_01
LEFT JOIN 
    [412].[103B_245_02.txt] b2 ON p.[All Proteins] = b2.proteinCG245_02
LEFT JOIN 
    [412].[103B_245_03.txt] b3 ON p.[All Proteins] = b3.proteinCG245_03;",Not Equivalent,Logical_Conditions,NO,NO,Logical_Conditions,YES,Logical_Conditions,NO,Logical_Conditions,NO,Case_Statement,YES,Case_Statement
SELECT  COUNT (*) FROM ( SELECT  * FROM  [1123].[_BiGoM3cg5]),"SELECT COUNT(*)
FROM [1123].[_BiGoM3cg5];",Equivalent,Simplification,YES,YES,Simplification,YES,Simplification,YES,Simplification,YES,Simplification,YES,Simplification
SELECT  * FROM  [412].[table_lowco2 spec counts background.txt] INNER JOIN  [412].[table_Cg proteome db evalue -10.txt] ON [412].[table_lowco2 spec counts background.txt].protein=[412].[table_Cg proteome db evalue -10.txt].Protein,"SELECT *
FROM [412].[table_lowco2 spec counts background.txt], [412].[table_Cg proteome db evalue -10.txt]
WHERE [412].[table_lowco2 spec counts background.txt].protein = [412].[table_Cg proteome db evalue -10.txt].Protein;",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"SELECT  * FROM  ( SELECT  sql_query,  sql_query_hash ,  x_col_name,  y_col_name ,  vizlet_type ,  row_number() over (partition by sql_query,  sql_query_hash,  x_col_name,  y_col_name order by score desc) as rnk FROM  [1314howe].[Vizlet Scores] --GROUP BY  sql_query,  sql_query_hash,  x_col_name,  y_col_name ) x WHERE  x.rnk = 1","WITH RankedVizlets AS (
    SELECT
        sql_query,
        sql_query_hash,
        x_col_name,
        y_col_name,
        vizlet_type,
        score,
        ROW_NUMBER() OVER (
            PARTITION BY sql_query, sql_query_hash, x_col_name, y_col_name
            ORDER BY score DESC
        ) AS rnk
    FROM [1314howe].[Vizlet Scores]
)
SELECT 
    sql_query,
    sql_query_hash,
    x_col_name,
    y_col_name,
    vizlet_type,
    score
FROM RankedVizlets
WHERE rnk = 1",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
"SELECT  c.DEST,  n.ORIGIN,  c.ARR_TIME,  n.DEP_TIME FROM  [372].[flights09_part] c JOIN [372].[flights09_part] n ON c.TAIL_NUM = n.TAIL_NUM AND  (c.DATE < n.DATE OR  (c.DATE = n.DATE AND  c.ARR_TIME <= n.DEP_TIME)) AND  c.DEST != n.ORIGIN","SELECT  
    c.DEST,  
    n.ORIGIN,  
    c.ARR_TIME,  
    n.DEP_TIME 
FROM 
    [372].[flights09_part] c 
JOIN 
    [372].[flights09_part] n 
ON 
    c.TAIL_NUM = n.TAIL_NUM 
    AND (
        CASE 
            WHEN c.DATE < n.DATE THEN 1
            WHEN c.DATE = n.DATE AND c.ARR_TIME <= n.DEP_TIME THEN 1
            ELSE 0
        END = 1
    )
    AND c.DEST != n.ORIGIN;",Equivalent,Case_Statement,YES,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement
"SELECT  count(*) FROM  ( SELECT  fs.sql_query,  vs.query_hash,  vs.x_col,  vs.y_col,  vs.vizlet_type,  count(*) as score FROM  [1307].[vizlets_28nov11_16h16m43s_every_displayed_vizlet.csv] vs LEFT OUTER JOIN  [1307].[vizlets_23nov11_10h34m16s_vizlet_and_action_features.csv] fs ON (vs.query_hash = fs.sql_query_hash and vs.x_col = fs.x_col_name and vs.y_col = fs.y_col_name and vs.vizlet_type = fs.vizlet_type) WHERE   1=1 GROUP BY  fs.sql_query,  vs.query_hash,  vs.x_col,  vs.y_col,  vs.vizlet_type --ORDER BY  count(*) desc --  ) z","WITH VizletCounts AS (
    SELECT
        fs.sql_query,
        vs.query_hash,
        vs.x_col,
        vs.y_col,
        vs.vizlet_type,
        COUNT(*) AS score
    FROM
        [1307].[vizlets_28nov11_16h16m43s_every_displayed_vizlet.csv] vs
    LEFT JOIN
        [1307].[vizlets_23nov11_10h34m16s_vizlet_and_action_features.csv] fs
        ON vs.query_hash = fs.sql_query_hash
        AND vs.x_col = fs.x_col_name
        AND vs.y_col = fs.y_col_name
        AND vs.vizlet_type = fs.vizlet_type
    GROUP BY
        fs.sql_query,
        vs.query_hash,
        vs.x_col,
        vs.y_col,
        vs.vizlet_type
)
SELECT
    COUNT(*)
FROM
    VizletCounts;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,Case_Statement,YES,CTEs
"SELECT  'Tokyo_1' as source ,  cast([TCPhase..Deg.] as float) ,  cast([C1RPh..Deg.] as float)","SELECT  'Tokyo-1' as source ,  cast([TCPhase..Deg.] as float) ,  cast([C1RPh..Deg.] as float)",Not Equivalent,Value_Change,NO,NO,Value_Change,NO,Value_Change,NO,Value_Change,NO,Value_Change,NO,Value_Change
SELECT  * FROM  [1307].[table_cinq_cents_objets_1312nomiques.csv],"WITH CTE_Table AS (
    SELECT * FROM [1307].[table_cinq_cents_objets_1312nomiques.csv]
)
SELECT * FROM CTE_Table;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
SELECT  cast(cast('11:35 PM' as time) as datetime),SELECT  cast(cast('11:45 PM' as time) as datetime),Not Equivalent,Value_Change,NO,NO,Value_Change,NO,Value_Change,NO,Value_Change,NO,Value_Change,NO,Value_Change
"SELECT  M1ID, M1ratio, T1D3ratio, T1D5ratio FROM  [1123].[filt3_M1]m1 join [1123].[filt3_M3]m3 on m1.M1ID=m3.M3ID join [1123].[filt3_T1D3]t1d3 on m1.M1ID=t1d3.T1D3ID join [1123].[filt3_T1D5]t1d5 on m1.M1ID=t1d5.T1D5ID join [1123].[filt3_T3D3]t3d3 on m1.M1ID=t3d3.T3D3ID join [1123].[filt3_T3D5]t3d5 on m1.M1ID=t3d5.T3D5ID where [M1coverage] >= '5' and [M3coverage] >= '5' and [T1D3coverage] >= '5' and [T1D5coverage] >= '5' and [T3D3coverage] >= '5' and [T3D5coverage] >= '5'","SELECT 
    M1ID, 
    M1ratio, 
    T1D3ratio, 
    T1D5ratio 
FROM 
    (
        SELECT 
            m1.M1ID, 
            m1.M1ratio, 
            t1d3.T1D3ratio, 
            t1d5.T1D5ratio,
            m3.M3coverage, 
            t1d3.T1D3coverage, 
            t1d5.T1D5coverage,
            t3d3.T3D3coverage,
            t3d5.T3D5coverage
        FROM 
            [1123].[filt3_M1] m1 
        JOIN 
            [1123].[filt3_M3] m3 ON m1.M1ID = m3.M3ID 
        JOIN 
            [1123].[filt3_T1D3] t1d3 ON m1.M1ID = t1d3.T1D3ID 
        JOIN 
            [1123].[filt3_T1D5] t1d5 ON m1.M1ID = t1d5.T1D5ID 
        JOIN 
            [1123].[filt3_T3D3] t3d3 ON m1.M1ID = t3d3.T3D3ID 
        JOIN 
            [1123].[filt3_T3D5] t3d5 ON m1.M1ID = t3d5.T3D5ID
    ) subquery
WHERE 
    subquery.M3coverage >= '5' 
    AND subquery.T1D3coverage >= '5' 
    AND subquery.T1D5coverage >= '5' 
    AND subquery.T3D3coverage >= '5' 
    AND subquery.T3D5coverage >= '5'",Equivalent,Join_Nested,YES,YES,Join_Nested,YES,Join_Nested,YES,Join_Nested,YES,Join_Nested,YES,Join_Nested
SELECT  * FROM  [1314howe].[UW highest paid employee by department] where middle ='T',"SELECT *
FROM (
    SELECT *
    FROM [1314howe].[UW highest paid employee by department]
    WHERE middle = 'T'
) AS filtered_employees;",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested
"SELECT  floor(latitude/0.7)*0.7 as latbin ,  floor(longitude/0.7)*0.7 as lonbin ,  floor(0.2/0.7)*0.7,  0.49/0.7 ,  species FROM  [690].[All3col]","SELECT  
    FLOOR(latitude/0.7)*0.7 AS latbin,  
    FLOOR(longitude/0.7)*0.7 AS lonbin,
    CASE 
        WHEN TRUE THEN FLOOR(0.2/0.7)*0.7 
        ELSE 0
    END AS fixed_value_1,  
    0.49/0.7 AS fixed_value_2,  
    species 
FROM  
    [690].[All3col];",Equivalent,Case_Statement,YES,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement
"SELECT  CAS001, CASE WHEN CAS001=2 THEN 'NM' WHEN CAS001=1 THEN 'M' WHEN CAS001=0 THEN 'U' END AS CAS001MethStat FROM  [412].[summed presence absence fragment peaks]","WITH DetailedStatus AS (
    SELECT  
        CAS001, 
        CASE 
            WHEN CAS001 = 2 THEN 'NM' 
            WHEN CAS001 = 1 THEN 'M' 
            WHEN CAS001 = 0 THEN 'U' 
        END AS CAS001MethStat 
    FROM  
        [412].[summed presence absence fragment peaks]
)
SELECT * FROM DetailedStatus;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
select idx from Frame1 where idx = 1 union select idx from Frame2 where idx= 21,"SELECT idx
FROM (
    SELECT idx
    FROM Frame1
    WHERE idx = 1

    UNION

    SELECT idx
    FROM Frame2
    WHERE idx = 21
) AS combined
ORDER BY idx;",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested
SELECT  * FROM  [876].[table_NUTR_DEF_1.csv],"WITH CTE_NUTR_DEF AS (
    SELECT *
    FROM [876].[table_NUTR_DEF_1.csv]
)
SELECT 10
FROM CTE_NUTR_DEF;",Not Equivalent,Logical_Conditions,YES,YES,Logical_Conditions,YES,CTEs,NO,Logical_Conditions,NO,Logical_Conditions,YES,CTEs
"SELECT [protein] AS [protein63], [protein probability] AS [protein probability63], [percent coverage] AS [percent coverage63], [tot indep spectra] AS [tot indep spectra63], [peptides] AS [peptides63] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea63.prot.xls] WHERE  [tot indep spectra]>1","WITH FilteredData AS (
    SELECT 
        [protein] AS [protein63], 
        [protein probability] AS [protein probability63], 
        [percent coverage] AS [percent coverage63], 
        [tot indep spectra] AS [tot indep spectra63], 
        [peptides] AS [peptides63]
    FROM 
        [412].[table_Prophet_2014_Sept_08_BeringSea63.prot.xls]
    WHERE 
        [tot indep spectra] > 1
)
SELECT 
    [protein63], 
    [protein probability63], 
    [percent coverage63], 
    [tot indep spectra63], 
    [peptides63]
FROM 
    FilteredData;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,Join_Nested
SELECT  * FROM  [1002].[Tokyo_2_merged_data_time_binned],"WITH CTE_TokyoData AS (
    SELECT * FROM [1002].[Tokyo_2_merged_data_time_binned]
)
SELECT * FROM CTE_TokyoData",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
"select distinct x.followee,  y.follower from twittermat x,  twittermat y where x.follower=y.followee","SELECT DISTINCT 
    x.followee, 
    y.follower
FROM 
    twittermat x
INNER JOIN 
    twittermat y 
ON 
    x.follower = y.followee;",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"SELECT DISTINCT T.day as Day,  T.[file] as File_Id, (CAST(T.opp as FLOAT))/(CAST(T.evt as FLOAT)) as opp_evt, (1000*(-9*POWER(10, -5)*POWER(CAST(D.[STREAM.PRESSURE] as FLOAT), 4) + 0.0066 * POWER(CAST(D.[STREAM.PRESSURE] as FLOAT), 3) - 0.173 * POWER(CAST(D.[STREAM.PRESSURE] as FLOAT), 2) + 2.5013 * CAST(D.[STREAM.PRESSURE] as FLOAT) + 2.1059) * 0.1738) as flow_rate FROM  [1057].[Thompson9_stats.tab] as T, [1057].[Thompson9_sds.tab] as D WHERE  T.day = D.day AND  T.[file] = D.[file] AND  ISNUMERIC(D.[STREAM.PRESSURE])<>0","SELECT DISTINCT 
    T.day AS Day, 
    T.[file] AS File_Id, 
    (CAST(T.opp AS FLOAT)) / (CAST(T.evt AS FLOAT)) AS opp_evt, 
    (1000 * (-9 * POWER(10, -5) * POWER(CAST(D.[STREAM.PRESSURE] AS FLOAT), 4) 
        + 0.0066 * POWER(CAST(D.[STREAM.PRESSURE] AS FLOAT), 3) 
        - 0.173 * POWER(CAST(D.[STREAM.PRESSURE] AS FLOAT), 2) 
        + 2.5013 * CAST(D.[STREAM.PRESSURE] AS FLOAT) 
        + 2.1059) * 0.1738) AS flow_rate 
FROM  
    [1057].[Thompson9_stats.tab] AS T
INNER JOIN 
    [1057].[Thompson9_sds.tab] AS D 
ON 
    T.day = D.day AND T.[file] = D.[file]
WHERE  
    ISNUMERIC(D.[STREAM.PRESSURE]) <> 0;",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
SELECT  * FROM  [412].[rpom peptide and protein presence summed] WHERE  [protein presence]>36,"WITH FilteredProteinPresence AS (
    SELECT *
    FROM [412].[rpom peptide and protein presence summed]
    WHERE [protein presence] > 36
)
SELECT *
FROM FilteredProteinPresence;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,Join_Nested
SELECT  COUNT(*) FROM  [446].[1341ls_and_nutrients_for_odv],SELECT  SUM(*) FROM  [446].[1341ls_and_nutrients_for_odv],Not Equivalent,Aggregate_Function,NO,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function
"select ra.PersonalName, ap.PMID from [Research-Affiliation] ra join Author_PMID ap on (ap.PersonalName = ra.PersonalName)","SELECT 
    ra.PersonalName, 
    ap.PMID
FROM 
    [Research-Affiliation] ra, 
    Author_PMID ap
WHERE 
    ap.PersonalName = ra.PersonalName;",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"SELECT  first.s,  second.s,  third.s FROM  [354].[small_graph] first ,  [354].[small_graph] second ,  [354].[small_graph] third WHERE  first.d = second.s AND  second.d = third.s AND  third.d = first.s AND  first.s < second.s AND  second.s < third.s","SELECT  first.s,  second.s,  third.s FROM  [354].[small_graph] first , [354].[small_graph] third, [354].[small_graph] second  WHERE  first.d = second.s AND  second.d = third.s AND  third.d = first.s AND  first.s < second.s AND  second.s < third.s",Equivalent,Join_Order,YES,YES,Join_Order,YES,Join_Order,YES,Join_Order,YES,Join_Order,YES,Join_Order
"select count(distinct substring([protein code-1],  7,  7)) from [xstal_tracker.csv] where [protein code-1] like 'Myth%'  group by  [data set?], [diffraction?], [crystals?]","SELECT 
    COUNT(DISTINCT substring(protein_code, 7, 7)) AS DistinctSubstrings
FROM 
    (
        SELECT 
            [protein code-1] AS protein_code, 
            [data set?], 
            [diffraction?], 
            [crystals?]
        FROM 
            [xstal_tracker.csv]
        WHERE 
            [protein code-1] LIKE 'Myth%'
    ) AS filtered_data
GROUP BY 
    filtered_data.[data set?], 
    filtered_data.[diffraction?], 
    filtered_data.[crystals?];",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested
SELECT  * FROM  [446].[V2_LineP_nutrients_formatted.csv] Where station = 'P1',"SELECT * 
FROM (
    SELECT * 
    FROM [446].[V2_LineP_nutrients_formatted.csv]
    WHERE station = 'P1'
) AS SubqueryResult;",Equivalent,Case_Statement,YES,YES,Case_Statement,YES,Join_Nested,YES,Join_Nested,YES,Case_Statement,YES,Join_Nested
"select u.[ec numbers] as enzyme,  a.* from report_anacor a join [uniprot_enzyme_map.csv] u on (u.accession = a.uniprot)","SELECT 
    u.[ec numbers] AS enzyme,
    a.*
FROM 
    report_anacor a, 
    [uniprot_enzyme_map.csv] u
WHERE 
    u.accession = a.uniprot;",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"SELECT   survey_institution, app_bio_female FROM  [813].[oser11.csv]","SELECT   survey_institution, app_bio_female, app_bio_male FROM  [813].[oser11.csv]",Not Equivalent,Adding_Removing_Select_Column,NO,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column
"SELECT  oyster.groupid ,  COUNT(*) as methcnt FROM  [354].[oyster.v9.glean.final.rename.mRNA.gff] oyster , [354].[cni1319n_oyster_v9_M_fuzznuc_CG.gff] allcg WHERE  oyster.seqname=allcg.seqname AND  (oyster.startidx > allcg.startidx AND  oyster.startidx < allcg.endidx OR  allcg.startidx > oyster.startidx AND  allcg.startidx < oyster.endidx) GROUP BY  oyster.groupid","SELECT  oyster.groupid ,  COUNT(*) as methcnt FROM  [354].[oyster.v9.glean.final.rename.mRNA.gff] oyster , [354].[cni1319n_oyster_v9_M_fuzznuc_CG.gff] allcg WHERE  oyster.seqname=allcg.seqname AND  (oyster.startidx > allcg.startidx AND  oyster.startidx > allcg.endidx OR  allcg.startidx > oyster.startidx AND  allcg.startidx < oyster.endidx) GROUP BY  oyster.groupid",Not Equivalent,Operators,NO,NO,Operators,NO,Operators,NO,Operators,NO,Operators,NO,Logical_Conditions
"SELECT  CONVERT(VARCHAR,  [time],  126) as [time],  lat,  lon,  salinity,  ocean_tmp,  par FROM  [1059].[SFL_VIEW] ORDER BY  [time] ASC","SELECT  CONVERT(VARCHAR,  [time],  126) as [time],  lat,  lon,  salinity,  ocean_tmp,  par FROM  [1059].[SFL_VIEW] ORDER BY  [time] DESC",Not Equivalent,Change_Sorting_Limiting,NO,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting
"SELECT isnull(a.row_num, isnull(b.row_num, null) ) as row , isnull(a.column_num, isnull(b.column_num, null) ) as row , a.row_num, a.column_num, b.row_num, b.column_num  ,  a.value ,  b.value, a.value + b.value sum_value FROM [187].[table_Matrix A.txt]  A full outer join [187].[table_Matrix B.txt] B on A.row_num = B.row_num and A.column_num  = b.column_num","SELECT 
    isnull(a.row_num, isnull(b.row_num, null)) as row,
    isnull(a.column_num, isnull(b.column_num, null)) as column,
    a.row_num, 
    a.column_num, 
    b.row_num, 
    b.column_num, 
    a.value, 
    b.value, 
    a.value + b.value as sum_value
FROM 
    [187].[table_Matrix A.txt] A
FULL OUTER JOIN 
    [187].[table_Matrix B.txt] B
    ON A.row_num = B.row_num AND A.column_num = B.column_num
WHERE
    EXISTS (SELECT 1 FROM [187].[table_Matrix B.txt] B2 WHERE B2.row_num = A.row_num AND B2.column_num = A.column_num)
    OR EXISTS (SELECT 1 FROM [187].[table_Matrix A.txt] A2 WHERE A2.row_num = B.row_num AND A2.column_num = B.column_num);",Not Equivalent,Change_Alias,NO,NO,Change_Alias,NO,Change_Alias,NO,Change_Join_Condition,YES,Condition_EXISTs,NO,Change_Join_Condition
SELECT  * FROM  [1123].[Pgen_blastx_uniprot_sql.tab]ann left join [1123].[uniprot-reviewed_wGO_010714]uni on ann.Column3 = uni.Entry,"SELECT *
FROM [1123].[Pgen_blastx_uniprot_sql.tab] ann
LEFT JOIN (
    SELECT * FROM [1123].[uniprot-reviewed_wGO_010714]
) uni ON ann.Column3 = uni.Entry",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested
SELECT  * FROM  [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)] where CGI_ID = 'CGI_10009035',"SELECT *,
    CASE 
        WHEN CGI_ID = 'CGI_10009035' THEN 'Match'
        ELSE 'No Match'
    END as Status
FROM [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)]
WHERE CGI_ID = 'CGI_10009035'",Equivalent,Case_Statement,YES,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement
