SQL_Statement,Modified_Statements,Syntax_Error_sqlshare,Is there any missing word,Missing_type_sqlshare,Missing_word_sqlshare,Missing Word(Generalization),Missing_position_sqlshare
"SELECT  oyster.groupid ,  COUNT(*) as methcnt FROM  [354].[oyster.v9.glean.final.rename.mRNA.gff] oyster , [354].[cni1319n_oyster_v9_M_fuzznuc_CG.gff] allcg WHERE  oyster.seqname=allcg.seqname AND  (oyster.startidx > allcg.startidx AND  oyster.startidx < allcg.endidx OR  allcg.startidx > oyster.startidx AND  allcg.startidx < oyster.endidx) GROUP BY  oyster.groupid","SELECT  oyster.groupid ,  COUNT(*) as methcnt FROM  [354].[oyster.v9.glean.final.rename.mRNA.gff] oyster , [354].[cni1319n_oyster_v9_M_fuzznuc_CG.gff] allcg WHERE  oyster.seqname=allcg.seqname AND  (oyster.startidx  allcg.startidx AND  oyster.startidx < allcg.endidx OR  allcg.startidx > oyster.startidx AND  allcg.startidx < oyster.endidx) GROUP BY  oyster.groupid",YES,YES,Missing Comparison,>,Comparison Operator,44
"SELECT  CONVERT(VARCHAR,  [time],  126) as [time],  lat,  lon,  salinity,  ocean_tmp,  par FROM  [1059].[SFL_VIEW] ORDER BY  [time] ASC","SELECT  CONVERT(VARCHAR,  [time],  126) as [time],  lat,  lon,  salinity,  ocean_tmp,  par FROM  [1059].[SFL_VIEW]  BY  [time] ASC",YES,YES,Missing Keyword,ORDER,ORDER,14
"SELECT isnull(a.row_num, isnull(b.row_num, null) ) as row , isnull(a.column_num, isnull(b.column_num, null) ) as row , a.row_num, a.column_num, b.row_num, b.column_num  ,  a.value ,  b.value, a.value + b.value sum_value FROM [187].[table_Matrix A.txt]  A full outer join [187].[table_Matrix B.txt] B on A.row_num = B.row_num and A.column_num  = b.column_num"," isnull(a.row_num, isnull(b.row_num, null) ) as row , isnull(a.column_num, isnull(b.column_num, null) ) as row , a.row_num, a.column_num, b.row_num, b.column_num  ,  a.value ,  b.value, a.value + b.value sum_value FROM [187].[table_Matrix A.txt]  A full outer join [187].[table_Matrix B.txt] B on A.row_num = B.row_num and A.column_num  = b.column_num",YES,YES,Missing Keyword,SELECT,SELECT,1
SELECT  * FROM  [1123].[Pgen_blastx_uniprot_sql.tab]ann left join [1123].[uniprot-reviewed_wGO_010714]uni on ann.Column3 = uni.Entry,SELECT  * FROM  [1123].[Pgen_blastx_uniprot_sql.tab]ann left join [1123].[uniprot-reviewed_wGO_010714]uni on ann.Column3 = uni.Entry,NO,NO,N/A,N/A,N/A,0
SELECT  * FROM  [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)] where CGI_ID = 'CGI_10009035',SELECT *  [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)] where CGI_ID = 'CGI_10009035',YES,YES,Missing Keyword,FROM,FROM,3
SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [412].[CG2 unique peps > 1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG2 unique peps > 1].[All Proteins] LEFT JOIN  [412].[CG5 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG5 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG8 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG8 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG11 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG11 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG26 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG26 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG29 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG29 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG32 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG32 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG35 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG35 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG221 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG221 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG224 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG224 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG227 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG227 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG230 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG230 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG242 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG242 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG245 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG245 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG248 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG248 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG251 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG251 unique peps >1].[All Proteins],SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [412].[CG2 unique peps > 1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG2 unique peps > 1].[All Proteins] LEFT JOIN  [412].[CG5 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG5 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG8 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG8 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG11 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG11 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG26 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG26 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG29 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG29 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG32 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG32 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG35 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG35 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG221 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG221 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG224 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG224 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG227 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG227 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG230 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG230 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG242 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG242 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG245 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG245 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG248 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG248 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG251 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG251 unique peps >1].[All Proteins],NO,NO,N/A,N/A,N/A,0
"SELECT  spectrum AS [spectrum56], start_scan AS start_scan56, expect AS expect56, peptide AS peptide56, protein AS protein56 FROM  [412].[table_BactDetection56.pep.txt]","SELECT   AS [spectrum56], start_scan AS start_scan56, expect AS expect56, peptide AS peptide56, protein AS protein56 FROM  [412].[table_BactDetection56.pep.txt]",YES,YES,Missing Column,spectrum,Column Name,2
select * FROM ['[1123].[QDOD'] WHERE  c.school_code BETWEEN 1000 AND  2000,select * WHERE  c.school_code  1000 AND  2000,YES,YES,Missing Keyword,BETWEEN,BETWEEN,5
SELECT  * FROM  [299].[seastar_clc_uniprot_sprot_2.tab]blast Left join [1123].[uniprot-reviewed_wGO_010714]unp on blast.Column3=unp.Entry Where Pathway like 'cell',"SELECT *  FROM  [299].[seastar_clc_uniprot_sprot_2.tab]blast Left join [1123].[uniprot-reviewed_wGO_010714]unp on blast.Column3=unp.Entry Where Pathway like ",YES,YES,Missing Value,cell',Value,13
select distinct conf_id from [1143].tbl_organizer,select distinct conf_id from [1143].tbl_organizer,NO,NO,N/A,N/A,N/A,0
SELECT  TOP 1 * FROM  Paired ORDER BY  [DateTime] DESC,SELECT  TOP 1 * FROM  Paired ORDER  [DateTime] DESC,YES,YES,Missing Keyword,BY,BY,8
SELECT  MAX(x) FROM (SELECT  NULL AS x UNION ALL SELECT  1 AS x) y,SELECT  MAX(x) FROM (SELECT  NULL  x UNION ALL SELECT  1 AS x) y,NO,NO,N/A,N/A,N/A,0
"SELECT  clock ,  clock / 10000000 as clock_millions ,  (clock) as log_clock ,  issues,  ticks,  m2issues,  m1issues ,  issues/ticks as issues_per_tick ,  memrefs/ticks as memrefs_per_tick ,  phantoms/ticks as phantoms_per_tick ,  streams/ticks as streams_per_tick FROM  ( SELECT  m1.source as source1,  m2.source as source2 ,  m1.clock as clock ,  cast((m2.clock - m1.clock) as float) as ticks ,  m2.issues as m2issues,  m1.issues as m1issues ,  (m2.issues - m1.issues)  as issues ,  (m2.memrefs - m1.memrefs)  as memrefs ,  (m2.phantoms - m1.phantoms)  as phantoms ,  (m2.streams - m1.streams)  as streams FROM  1314howe.measurement m1 ,  1314howe.measurement m2 WHERE  m2.clock > m1.clock AND  NOT EXISTS ( SELECT  clock FROM  1314howe.measurement m3 WHERE  m1.clock < m3.clock AND  m2.clock > m3.clock ) ) x ORDER BY  clock asc","SELECT  clock ,  clock / 10000000 as clock_millions ,  (clock) as log_clock ,  issues,  ticks,  m2issues,  m1issues ,  issues/ticks as issues_per_tick ,  memrefs/ticks as memrefs_per_tick ,  phantoms/ticks as phantoms_per_tick ,  streams/ticks as streams_per_tick FROM  ( SELECT  m1.source as source1,  m2.source as source2 ,  m1.clock as clock ,  cast((m2.clock - m1.clock) as float) as ticks ,  m2.issues as m2issues,  m1.issues as m1issues ,  (m2.issues - m1.issues)  as issues ,  (m2.memrefs - m1.memrefs)  as memrefs ,  (m2.phantoms - m1.phantoms)  as phantoms ,  (m2.streams - m1.streams)  as streams FROM  1314howe.measurement m1 ,  1314howe.measurement m2 WHERE  m2.clock > m1.clock AND  NOT  ( SELECT  clock FROM  1314howe.measurement m3 WHERE  m1.clock < m3.clock AND  m2.clock > m3.clock ) ) x ORDER BY  clock asc",YES,YES,Missing Keyword,EXISTS,EXISTS,49
SELECT  * FROM  [1317].[COFFEEEEEEEEEE] where value >1000 and price >.15 and year >1900,SELECT *  FROM  .[COFFEEEEEEEEEE] where value >1000 and price >.15 and year >1900,YES,YES,Missing Table,[1317],Table Name,4
"SELECT  Column1 as time, Column2-1 as donor_idx, Column3 as acceptor_idx, Column4 as donor_resnm, Column5 as donor_resid, Column6 as donor_atom, Column7 as acceptor_resnm, Column8 as acceptor_resid, Column9 as acceptor_atom, Column10 as distance, Column11 as angle from Article ","SELECT  Column1 as time, Column2-1 as donor_idx, Column3 as acceptor_idx, Column4 as donor_resnm, Column5 as donor_resid, Column6 as donor_atom, Column7 as acceptor_resnm, Column8 as acceptor_resid, Column9 as acceptor_atom, Column10 as distance, Column11 as angle",YES,YES,Missing Column,Column4,Column Name,11
"SELECT * max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE job_title like '%RESEAR%PRINCI%' job_title like 'ASSISTANT PROFESSOR ' name like '%balazinska%' AND  job_title not like '%APL%' AND  salary < 112800 ORDER BY  salary desc"," SELECT * max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE job_title like '%RESEAR%PRINCI%' job_title like 'ASSISTANT PROFESSOR ' name like '%balazinska%' AND  job_title not like '%APL%' AND  salary  112800 ORDER BY  salary desc",YES,YES,Missing Comparison,<,Comparison Operator,43
"SELECT term_id, tf, D, docs_with_T , log(D)-log(docs_with_T) as idf , tf * (log(D)-log(docs_with_T)) as [tf-idf] FROM ( SELECT term_id, SUM(frequency) as tf , (SELECT  COUNT(distinct doc_id) FROM  [1314howe].[reuters_terms.csv]) as D , COUNT(*) as docs_with_T FROM  [1314howe].[reuters_terms.csv] GROUP BY  term_id ) a ORDER BY  [tf-idf] desc","SELECT term_id, tf, D, docs_with_T , log(D)-log(docs_with_T) as idf , tf * (log(D)-log(docs_with_T)) as [tf-idf] FROM ( SELECT term_id, SUM(frequency) as tf , (SELECT  COUNT(distinct doc_id) FROM  [1314howe].[reuters_terms.csv]) as D , COUNT(*) as docs_with_T FROM  [1314howe].[reuters_terms.csv]  BY  term_id ) a ORDER BY  [tf-idf] desc",YES,YES,Missing Keyword,GROUP,GROUP,37
select (66),select (66),NO,NO,N/A,N/A,N/A,0
SELECT  * FROM  [412].[bact detection distinct peptides] LEFT JOIN  [412].[interact-2015_May_6_Bacteria_Detection9.pep.xls] ON [412].[bact detection distinct peptides].peptide=[interact-2015_May_6_Bacteria_Detection9.pep.xls].peptide,SELECT  * FROM  [412].[bact detection distinct peptides]  JOIN  [412].[interact-2015_May_6_Bacteria_Detection9.pep.xls] ON [412].[bact detection distinct peptides].peptide=[interact-2015_May_6_Bacteria_Detection9.pep.xls].peptide,YES,YES,Missing Keyword,LEFT,LEFT,8
"WITH  Numbered AS (SELECT  [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [DateTime] ASC) AS [Row] FROM  [1059].[SDS_VIEW]) ,  Paired AS (SELECT  a.[DateTime] AS [DateTime] ,  DATEDIFF(second,  a.[DateTime],  b.[DateTime]) AS [Elapsed (s)] ,  a.[LAT] AS [lat1deg] ,  a.[LON] AS [lon1deg] ,  b.[LAT] AS [lat2deg] ,  b.[LON] AS [lon2deg] ,  a.[LAT] * PI() / 180 AS [lat1] ,  b.[LAT] * PI() / 180  AS [lat2] ,  (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat] ,  (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] FROM  Numbered a JOIN  Numbered b ON a.[Row]+1 = b.[Row]) ,  Trig AS (SELECT  * ,  POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val FROM  Paired) ,  Distance AS (SELECT  * ,  6378100 * 2 * atn2(sqrt(val),  sqrt(1-val)) AS [Distance (m)] FROM  Trig) SELECT  TOP 500 * ,  [Distance (m)] / NULLIF([Elapsed (s)], 0) AS [Velocity (m/s)] FROM  Distance","WITH  Numbered AS (SELECT  [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [DateTime] ASC) AS [Row] FROM  [1059].[SDS_VIEW]) ,  Paired AS (SELECT  a.[DateTime] AS [DateTime] ,  DATEDIFF(second,  a.[DateTime],  b.[DateTime]) AS [Elapsed (s)] ,  a.[LAT] AS [lat1deg] ,  a.[LON] AS [lon1deg] ,  b.[LAT] AS [lat2deg] ,  b.[LON] AS [lon2deg] ,  a.[LAT] * PI() / 180 AS [lat1] ,  b.[LAT] * PI() / 180  AS [lat2] ,  (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat] ,  (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] FROM  Numbered a JOIN  Numbered b ON a.[Row]+1 = b.[Row]) ,  Trig AS (SELECT  * ,  POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val FROM  Paired) ,  Distance AS (SELECT  * ,  6378100 * 2 * atn2(sqrt(val),  sqrt(1-val)) AS [Distance (m)] FROM  Trig) SELECT  TOP 500 * ,  [Distance (m)] / ([Elapsed (s)], 0) AS [Velocity (m/s)] FROM  Distance",YES,YES,Missing Keyword,NULLIF,NULLIF,209
"SELECT  [entry no.] as [B1.2 entry no.], [protein] AS [B1.2 protein], [protein probability] AS [B1.2 protein probability], [protein description] AS [B1.2 protein description], [percent coverage] AS [B1.2 percent coverage], [tot indep spectra] AS [B1.2 tot indep spectra], [percent share of spectrum IDs] AS [B1.2 percent share of spectrum IDs], [peptides] as [B1.2 peptides] FROM  [412].[table_interact-2015_May_6_Bacteria_Detection51.prot.xls]","SELECT  [entry no.] as [B1.2 entry no.], [protein] AS [B1.2 protein], [protein probability] AS [B1.2 protein probability], [protein description] AS [B1.2 protein description], [percent coverage] AS [B1.2 percent coverage], [tot indep spectra] AS [B1.2 tot indep spectra], [percent share of spectrum IDs] AS [B1.2 percent share of spectrum IDs], [peptides] as [B1.2 peptides] FROM  [412].[table_interact-2015_May_6_Bacteria_Detection51.prot.xls]",NO,NO,N/A,N/A,N/A,0
"SELECT [protein] AS [protein45], [protein probability] AS [protein probability45], [percent coverage] AS [percent coverage45], [tot indep spectra] AS [tot indep spectra45], [peptides] AS [peptides45] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea45.prot.xls] WHERE  [tot indep spectra]>1","SELECT [protein] AS [protein45], [protein probability] AS [protein probability45], [percent coverage] AS [percent coverage45], [tot indep spectra] AS [tot indep spectra45], [peptides] AS [peptides45]  [412].[table_Prophet_2014_Sept_08_BeringSea45.prot.xls] WHERE  [tot indep spectra]>1",YES,YES,Missing Keyword,FROM,FROM,25
SELECT  * FROM  [412].[table_loadings from skyline nmds.txt] INNER JOIN  [412].[table_Cg proteome db evalue -10.txt] ON [412].[table_loadings from skyline nmds.txt].Protein=[412].[table_Cg proteome db evalue -10.txt].Protein,SELECT  * FROM  [412].[table_loadings from skyline nmds.txt] INNER JOIN  [412].[table_Cg proteome db evalue -10.txt] ON [412].[table_loadings from skyline nmds.txt].Protein=[412].[table_Cg proteome db evalue -10.txt].Protein,NO,NO,N/A,N/A,N/A,0
"select * FROM  ( select cast(month + '/' + day + '/' + year as datetime) as ddate ,  cast(substring(stime, 1, 2) as integer) as hours ,  cast(substring(stime, 3, 2) as integer) as minutes ,  cast(substring(stime, 5, 2) as integer) as seconds ,  * from ( select substring(sdate, len(sdate) - 5, 2) as day ,  substring(sdate, len(sdate) - 3, 2) as month ,  substring(sdate, len(sdate) - 1, 2) as year ,  substring(ztime, len(ztime) - 5, 6) as stime ,  * from ( select '00000' + cast(time as varchar) as ztime ,  '0' + cast(date as varchar) as sdate ,  * from [1002].[Tokyo_0_merged_data.csv] ) x ) y ) z order by timestamp","select * FROM  ( select cast(month + '/' + day + '/' + year as datetime) as  ,  cast(substring(stime, 1, 2) as integer) as hours ,  cast(substring(stime, 3, 2) as integer) as minutes ,  cast(substring(stime, 5, 2) as integer) as seconds ,  * from ( select substring(sdate, len(sdate) - 5, 2) as day ,  substring(sdate, len(sdate) - 3, 2) as month ,  substring(sdate, len(sdate) - 1, 2) as year ,  substring(ztime, len(ztime) - 5, 6) as stime ,  * from ( select '00000' + cast(time as varchar) as ztime ,  '0' + cast(date as varchar) as sdate ,  * from [1002].[Tokyo_0_merged_data.csv] ) x ) y ) z order by timestamp",YES,YES,Missing Alias,alias,Alias,19
select * FROM  [1123].[Mgo_RNAseq_transcript],select * FROM  [1123].[Mgo_RNAseq_transcript],NO,NO,N/A,N/A,N/A,0
"SELECT SUM([C1A_15 SpC/L]) AS [SUM C1A_15 SpC/L], SUM([C1B_16 SpC/L]) AS [SUM C1B_16 SpC/L], SUM([C2_17 SpC/L]) AS [SUM C2_17 SpC/L], SUM([C3_18 SpC/L]) AS [SUM C3_18 SpC/L], SUM([T8A_21 SpC/L]) AS [SUM T8A_21 SpC/L], SUM([T10_22 SpC/L]) AS [SUM T10_22 SpC/L], SUM([T11_23 SpC/L]) AS [SUM T11_23 SpC/L], SUM([V13B_28 SpC/L]) AS [SUM V13B_28 SpC/L], SUM([V14_29 SpC/L]) AS [SUM V14_29 SpC/L], SUM([V17_30 SpC/L]) AS [SUM V17_30 SpC/L], SUM([VT21_33 SpC/L]) AS [SUM VT21_33 SpC/L], SUM([VT22_34 SpC/L]) AS [SUM VT22_34 SpC/L], SUM([VT23_35 SpC/L]) AS [SUM VT23_35 SpC/L], SUM([C2_41 SpC/L]) AS [SUM C2_41 SpC/L], SUM([C1A_42 SpC/L]) AS [SUM C1A_42 SpC/L], SUM([C3_43 SpC/L]) AS [SUM C3_43 SpC/L], SUM([T10_46 SpC/L]) AS [SUM T10_46 SpC/L], SUM([T8A_47 SpC/L]) AS [SUM T8A_47 SpC/L], SUM([T11_50 SpC/L]) AS [SUM T11_50 SpC/L], SUM([VT23_53 SpC/L]) AS [SUM VT23_53 SpC/L], SUM([VT21_54 SpC/L]) AS [SUM VT21_54 SpC/L], SUM([VT22_55 SpC/L]) AS [SUM VT22_55 SpC/L] FROM  [412].[Macoma individual SpC-L]","SELECT SUM([C1A_15 SpC/L]) AS [SUM C1A_15 SpC/L], SUM([C1B_16 SpC/L]) AS [SUM C1B_16 SpC/L], SUM([C2_17 SpC/L]) AS [SUM C2_17 SpC/L], SUM([C3_18 SpC/L]) AS [SUM C3_18 SpC/L], SUM([T8A_21 SpC/L]) AS [SUM T8A_21 SpC/L], SUM([T10_22 SpC/L]) AS [SUM T10_22 SpC/L], SUM([T11_23 SpC/L]) AS [SUM T11_23 SpC/L], SUM([V13B_28 SpC/L]) AS [SUM V13B_28 SpC/L], SUM([V14_29 SpC/L]) AS [SUM V14_29 SpC/L], SUM([V17_30 SpC/L]) AS [SUM V17_30 SpC/L], SUM([VT21_33 SpC/L]) AS [SUM VT21_33 SpC/L], SUM([VT22_34 SpC/L]) AS [SUM VT22_34 SpC/L], SUM([VT23_35 SpC/L]) AS [SUM VT23_35 SpC/L], SUM([C2_41 SpC/L]) AS [SUM C2_41 SpC/L], SUM([C1A_42 SpC/L]) AS [SUM C1A_42 SpC/L], SUM([C3_43 SpC/L]) AS [SUM C3_43 SpC/L], SUM([T10_46 SpC/L]) AS [SUM T10_46 SpC/L], SUM([T8A_47 SpC/L]) AS [SUM T8A_47 SpC/L], SUM([T11_50 SpC/L]) AS [SUM T11_50 SpC/L], SUM([VT23_53 SpC/L]) AS [SUM VT23_53 SpC/L], SUM([VT21_54 SpC/L]) AS [SUM VT21_54 SpC/L], SUM([VT22_55 SpC/L]) AS [SUM VT22_55 SpC/L] FROM  [412].[Macoma individual SpC-L]",NO,NO,N/A,N/A,N/A,0
select * from Glycerol_Stocks_Locations where Target_name like 'MytuD.00010.a.A1%',SELECT * from Glycerol_Stocks_Locations where Target_name 'MytuD.00010.a.A1%',YES,YES,Missing Keyword,like,LIKE,7
"create table Inproceedings (pubid int primary key,  booktitle text,  editor text)","create table (pubid int primary key,  booktitle text,  editor text)",YES,YES,Missing Table,Inproceedings,Table Name,3
SELECT  * FROM  [826].[table_thapsIT_hemizygous_genes.txt] IT join [826].[Hemi_ALL_temp] artifact on IT.proteinId != artifact.proteinId,SELECT *  FROM  .[table_thapsIT_hemizygous_genes.txt] IT join [826].[Hemi_ALL_temp] artifact on IT.proteinId != artifact.proteinId,YES,YES,Missing Table,[826].[table_thapsIT_hemizygous_genes.txt],Table Name,4
"SELECT  * FROM  [1123].[RobertsLab_PrimerDatabase] Where ""Organism"" like '%gigas' or Organism like '%oyst%' AND ""Designed By"" like 'Brad%'","SELECT  * FROM  [1123].[RobertsLab_PrimerDatabase] Where ""Organism"" like '%gigas' or Organism like '%oyst%' AND ""Designed By"" like 'Brad%'",NO,NO,N/A,N/A,N/A,0
SELECT  * FROM  [1123].[qDOD_Protein_Sequences] pro Left Join [1123].[qDOD_Cgigas_GO_GOslim] cgslim," SELECT * FROM  [1123].[qDOD_Protein_Sequences] pro Left Join [1123].[qDOD_Cgigas_GO_GOslim] cgslim",YES,YES,Missing Alias,pro,Alias,5
SELECT  * FROM  [790].[table_PhoneBook.csv] where [name]='Sara',SELECT  * FROM   [790].[table_PhoneBook.csv] where [name] 'Sara',YES,YES,Missing Comparison,=',Comparison Operator,10
SELECT  * FROM  [826].[deUrea_BH.csv] where logFC < 0 and BH < 0.0001,SELECT  * FROM  [826].[deUrea_BH.csv] where logFC < 0 and BH < 0.0001,NO,NO,N/A,N/A,N/A,0
"SELECT  [entry no.] as [C3.2 entry no.], [protein] AS [C3.2 protein], [protein probability] AS [C3.2 protein probability], [protein description] AS [C3.2 protein description], [percent coverage] AS [C3.2 percent coverage], [tot indep spectra] AS [C3.2 tot indep spectra], [percent share of spectrum IDs] AS [C3.2 percent share of spectrum IDs], [peptides] as [C3.2 peptides] FROM  [412].[table_interact-2015_May_6_Bacteria_Detection89_150512121311.prot.xls]","SELECT  [entry no.] as [C3.2 entry no.], [protein] AS [C3.2 protein], [protein probability] AS [C3.2 protein probability], [protein description] AS [C3.2 protein description], [percent coverage] AS [C3.2 percent coverage], [tot indep spectra] AS [C3.2 tot indep spectra], [percent share of spectrum IDs] AS [C3.2 percent share of spectrum IDs], [peptides] as [C3.2 peptides] FROM  [412].[table_interact-2015_May_6_Bacteria_Detection89_150512121311.prot.xls]",NO,NO,N/A,N/A,N/A,0
"SELECT  [DMY]/10000 AS day1, ([DMY]%10000)/100 AS month, ([DMY]%100) AS year, [HMS]/10000 as hour, ([HMS]%10000)/100 as minute, ([HMS]%100) as second, LAT, LON, SALINITY, [OCEAN.TEMP],  day,  [file] FROM  [1057].[table_MBARI_1_sds.csv] WHERE  ISNUMERIC(DMY)<>0 AND  ISNUMERIC(HMS)<>0","SELECT  [DMY]/10000 AS day1, ([DMY]%10000)/100 AS , ([DMY]%100) AS year, [HMS]/10000 as hour, ([HMS]%10000)/100 as minute, ([HMS]%100) as second, LAT, LON, SALINITY, [OCEAN.TEMP],  day,  [file] FROM  [1057].[table_MBARI_1_sds.csv] WHERE  ISNUMERIC(DMY)<>0 AND  ISNUMERIC(HMS)<>0",YES,YES,Missing Alias,month,Alias,9
SELECT  * FROM  [1123].[TJGR_genomic_gene.txt] Where gID = 'CGI_10000088'," SELECT *  [1123].[TJGR_genomic_gene.txt] Where gID = 'CGI_10000088'",YES,YES,Missing Keyword,FROM,FROM,3
SELECT  * FROM  [1123].[qDOD_scaffold_sequence.txt] Where Column1 = 'scaffold29146',SELECT  * FROM  [1123].[qDOD_scaffold_sequence.txt] Where Column1 =,YES,YES,Missing Value,scaffold29146',Value,8
SELECT  * FROM  [1123].[OlyO transcriptome v3 swiss-prot Blast]oly left join [1123].[uniprot-reviewed_wGO_010714]up on oly.Column1=up.Entry,SELECT  * FROM  [1123].[OlyO transcriptome v3 swiss-prot Blast]oly left join [1123].[uniprot-reviewed_wGO_010714]up on oly.Column1=up.Entry,NO,NO,N/A,N/A,N/A,0
"SELECT [protein] AS [protein19], [protein probability] AS [protein probability19], [percent coverage] AS [percent coverage19], [tot indep spectra] AS [tot indep spectra19], [peptides] AS [peptides19] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea19.prot.xls] WHERE  [tot indep spectra]>1","SELECT [protein] AS [protein19], [protein probability] AS , [percent coverage] AS [percent coverage19], [tot indep spectra] AS [tot indep spectra19], [peptides] AS [peptides19] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea19.prot.xls] WHERE  [tot indep spectra]>1",YES,YES,Missing Alias,[protein probability19],Alias,8
