SQL_Statement,Question,GPT4,GPT4 Equivalence,GPT3.5,GPT3.5 Equivalence,Llama 3,Llama3 Equivalence,MistralAI,Mistral Equivalence,Gemini,Gemini Equivalence
SELECT Name FROM conductor ORDER BY Year_of_Work DESC,List the name of the conductor with the most years of work.,"The query retrieves the names of conductors, ordered by their most recent year of work, from the conductor table",ok,"The query retrieves the names of conductors, ordered by their year of work in descending order.",ok,"This SQL query retrieves the names of conductors, sorted in descending order by their year of work, with the most recent year first.",ok,"This query retrieves the names of conductors, ordered by the year of work in descending order.",ok,Lists conductor names sorted by their year of work in descending order.,ok
"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",Find the first name and age of students who have a pet.,"The query retrieves distinct first names and ages of students who have pets, using a join between the student and has_pet tables",ok,The query retrieves distinct first names and ages of students who have a pet.,ok,This SQL query retrieves the distinct first names and ages of students who have a pet.,ok,This query retrieves distinct first names and ages of students who have pets.,ok,Retrieves unique first names and ages of students who own at least one pet.,ok
"SELECT count(*) FROM FLIGHTS WHERE DestAirport  =  ""ATO""",How many flights have destination ATO?,"The query counts the number of flights destined for the airport with the code ""ATO"" in the FLIGHTS table",ok,"The query counts the number of flights where the destination airport is ""ATO"".",ok,"This SQL query counts the total number of flights that have ""ATO"" as their destination airport.",ok,"This query counts the number of flights with the destination airport ""ATO"".",ok,"Counts the number of flights with a destination airport code of ""ATO"".",ok
"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",Find the type and weight of the youngest pet.,The query retrieves the type and weight of the youngest pet from the pets table,ok,The query retrieves the `pettype` and `weight` of the youngest pet.,ok,This SQL query retrieves the oldest pet's type and weight.,ok,This query retrieves the pet type and weight of the youngest pet.,ok,Retrieves the pet type and weight of the youngest pet.,ok
"SELECT template_id ,  count(*) FROM Documents GROUP BY template_id",Show all template ids and number of documents using each template.,"The query counts the number of documents for each template_id in the Documents table, grouping the results by template_id",ok,The query counts the number of documents for each `template_id` and retrieves the `template_id` along with the count.,ok,This SQL query counts the number of documents for each template_id.,ok,This query counts the number of documents for each template ID.,ok,Counts the number of documents for each unique template ID.,ok
"SELECT T1.owner_id ,  T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id JOIN Treatments AS T3 ON T2.dog_id  =  T3.dog_id GROUP BY T1.owner_id ORDER BY count(*) DESC LIMIT 1",Which owner has paid for the most treatments on his or her dogs? List the owner id and last name.,"The query identifies the owner with the most treatments recorded for their dogs, retrieving the owner's ID and last name by joining the Owners, Dogs, and Treatments tables",ok,The query retrieves the `owner_id` and `last_name` of the owner with the most treatments recorded for their dogs.,ok,This SQL query retrieves the owner ID and last name of the owner who has the most dogs receiving treatments.,ok,This query retrieves the owner ID and last name of the owner whose dogs have received the most treatments.,ok,This query identifies the owner with the most dog treatments and returns their owner ID and last name.,ok
SELECT T1.CountryName FROM COUNTRIES AS T1 JOIN CONTINENTS AS T2 ON T1.Continent  =  T2.ContId JOIN CAR_MAKERS AS T3 ON T1.CountryId  =  T3.Country WHERE T2.Continent  =  'europe' GROUP BY T1.CountryName HAVING count(*)  >=  3;,Which countries in europe have at least 3 car manufacturers?,"The query lists European countries with at least three car makers, using joins across the COUNTRIES, CONTINENTS, and CAR_MAKERS tables",ok,The query retrieves country names from Europe that are associated with at least three car makers.,ok,This SQL query retrieves the names of countries in Europe where there are at least 3 car makers.,ok,This query retrieves the names of European countries that have at least three car makers.,ok,This query finds European countries with at least 3 car manufacturers by joining three tables and filtering based on continent and manufacturer count.,ok
SELECT avg(T2.Earnings) FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Height  >  200,What is the average earnings of poker players with height higher than 200?,"The query calculates the average earnings of poker players who are taller than 200 cm, using a join between the people and poker_player tables",ok,The query calculates the average earnings of poker players who are taller than 200 units.,ok,This SQL query calculates the average earnings of poker players who are taller than 200 cm.,ok,This query calculates the average earnings of poker players who are taller than 200 units.,ok,Calculates the average earnings of poker players taller than 200 cm.,ok
"SELECT T2.Title FROM TV_Channel AS T1 JOIN Cartoon AS T2 ON T1.id = T2.Channel WHERE T1.series_name = ""Sky Radio"";","List the title of all  Cartoons showed on TV Channel with series name ""Sky Radio"".","The query retrieves the titles of cartoons broadcast on the ""Sky Radio"" series from the TV_Channel and Cartoon tables",ok,"The query retrieves the titles of cartoons aired on the ""Sky Radio"" series channel.",ok,"This SQL query retrieves the titles of cartoons that are broadcast on ""Sky Radio"".",ok,"This query retrieves the titles of cartoons broadcast on the TV channel with the series name ""Sky Radio"".",ok,"This query retrieves titles of cartoons broadcast on a channel named ""Sky Radio""",ok
SELECT count(DISTINCT pettype) FROM pets,Find the number of distinct type of pets.,The query counts the number of unique pet types in the pets table,ok,The query counts the number of distinct pet types in the `pets` table.,ok,This SQL query counts the number of unique pet types.,ok,This query counts the number of distinct pet types in the `pets` table.,ok,Counts the number of different pet types in the pets table.,ok
SELECT sum(bonus) FROM evaluation,What is total bonus given in all evaluations?,The query calculates the total sum of bonuses from the evaluation table,ok,The query calculates the total sum of the `bonus` values in the `evaluation` table.,ok,This SQL query calculates the total bonus amount.,ok,This query calculates the total sum of bonuses from the `evaluation` table.,ok,Calculates the total sum of bonuses from the evaluation table.,ok
SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;,How many cars has over 6 cylinders?,The query counts the number of entries in the CARS_DATA table where the number of cylinders exceeds six,ok,The query counts the number of cars with more than 6 cylinders in the `CARS_DATA` table.,ok,This SQL query counts the number of cars with more than 6 cylinders.,ok,This query counts the number of cars with more than 6 cylinders in the `CARS_DATA` table.,ok,Counts the number of cars in the CARS_DATA table with more than 6 cylinders.,ok
"SELECT line_1 ,  line_2 FROM addresses",what are all the addresses including line 1 and line 2?,The query retrieves the line_1 and line_2 fields from each entry in the addresses table,ok,The query retrieves `line_1` and `line_2` from the `addresses` table.,ok,"This SQL query retrieves the ""line_1"" and ""line_2"" columns from the ""addresses"" table.",ok,This query retrieves the `line_1` and `line_2` columns from the `addresses` table.,ok,Retrieves the first and second lines of all addresses from the addresses table.,ok
"SELECT DISTINCT breed_code ,  size_code FROM dogs",What are all the possible breed type and size type combinations?,The query retrieves unique combinations of breed codes and size codes from the dogs table,ok,The query retrieves distinct combinations of `breed_code` and `size_code` from the `dogs` table.,ok,This SQL query retrieves the distinct breed codes and size codes of dogs.,ok,This query retrieves the distinct combinations of `breed_code` and `size_code` from the `dogs` table.,ok,Retrieves unique combinations of breed code and size code from the dogs table.,ok
"SELECT T3.Name FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID WHERE T2.Course  =  ""Math""",Show the name of the teacher for the math course.,"The query retrieves the names of teachers assigned to teach the ""Math"" course by joining the course_arrange, course, and teacher tables",ok,"The query retrieves the names of teachers who teach the ""Math"" course.",ok,"This SQL query retrieves the name of the teacher who teaches the ""Math"" course.",ok,"This query retrieves the names of teachers who teach the ""Math"" course.",ok,This query finds the names of teachers who teach math courses,ok
SELECT grade FROM Highschooler,Show all the grades of the high schoolers.,The query retrieves the grade level of each high schooler from the Highschooler table,ok,The query retrieves the `grade` of all students from the `Highschooler` table.,ok,This SQL query retrieves the grade of high schoolers.,ok,This query retrieves the grades of high schoolers.,ok,Retrieves the grade for each high schooler.,ok
"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRPORTS AS T3 ON T1.SourceAirport  =  T3.AirportCode WHERE T2.City  =  ""Ashley"" AND T3.City  =  ""Aberdeen""",How many flights depart from City 'Aberdeen' and have destination City 'Ashley'?,The query counts the number of flights from Aberdeen to Ashley by joining the FLIGHTS table with the AIRPORTS table for both destination and source airports,ok,"The query counts the number of flights that have a destination airport in ""Ashley"" and a source airport in ""Aberdeen.""",ok,This SQL query counts the number of flights from Ashley to Aberdeen.,ok,This query counts the number of flights from Aberdeen to Ashley.,ok,This query counts the number of flights that travel from Aberdeen to Ashley.,ok
"SELECT email_address ,  cell_number ,  home_phone FROM professionals","List the email, cell phone and home phone of all the professionals.","The query retrieves the email addresses, cell numbers, and home phone numbers of all entries in the professionals table",ok,"The query retrieves the `email_address`, `cell_number`, and `home_phone` from the `professionals` table.",ok,"This SQL query retrieves the email address, cell number, and home phone of professionals.",ok,"This query retrieves the email addresses, cell numbers, and home phone numbers of professionals.",ok,"Retrieves email address, cell number, and home phone for all professionals.",ok
"SELECT Package_Option FROM TV_Channel WHERE series_name = ""Sky Radio"";","What is the Package Option of TV Channel with serial name ""Sky Radio""?","The query retrieves the package options for the ""Sky Radio"" series from the TV_Channel table",ok,"The query retrieves the `Package_Option` for the channel with the series name ""Sky Radio"".",ok,"This SQL query retrieves the package option for TV channels with the series name ""Sky Radio"".",ok,"This query retrieves the package options for the TV channel with the series name ""Sky Radio"".",ok,"This query retrieves the package option for the TV channel with the series name ""Sky Radio"".",ok
SELECT T1.Name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.Name HAVING COUNT(*)  >  1,Show the names of singers that have more than one song.,"The query retrieves the names of singers who have more than one song recorded, by joining the singer and song tables",ok,The query retrieves the names of singers who have performed more than one song.,ok,This SQL query retrieves the names of singers who have more than one song.,ok,This query retrieves the names of singers who have more than one song.,ok,This query finds singers who have recorded more than one song.,ok
SELECT DISTINCT T2.Model FROM CAR_NAMES AS T1 JOIN MODEL_LIST AS T2 ON T1.Model  =  T2.Model JOIN CAR_MAKERS AS T3 ON T2.Maker  =  T3.Id JOIN CARS_DATA AS T4 ON T1.MakeId  =  T4.Id WHERE T3.FullName  =  'General Motors' OR T4.weight  >  3500;,Which distinctive models are produced by maker with the full name General Motors or weighing more than 3500?,"The query retrieves distinct car models made by 'General Motors' or those weighing over 3500 units, using joins across the CAR_NAMES, MODEL_LIST, CAR_MAKERS, and CARS_DATA tables",ok,The query retrieves distinct car models from General Motors or models with a weight greater than 3500.,ok,This SQL query retrieves the distinct car models from General Motors or cars with a weight greater than 3500.,ok,This query retrieves distinct car models from General Motors or cars weighing more than 3500 units.,ok,This query finds all unique car models that are either made by General Motors or weigh more than 3500 unit,ok
"SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid",Find the number of pets for each student who has any pet and student id.,"The query counts the number of pets for each student by joining the student and has_pet tables, grouping the results by student ID",ok,The query counts the number of pets for each student and retrieves the student ID.,ok,This SQL query counts the number of pets for each student.,ok,"This query counts the number of pets each student has, grouped by student ID.",ok,Counts the number of pets owned by each student.,ok
"SELECT AirportCode ,  AirportName FROM AIRPORTS WHERE city  =  ""Anthony""",List the airport code and name in the city of Anthony.,The query retrieves the airport codes and names for airports located in the city of Anthony from the AIRPORTS table,ok,"The query retrieves the `AirportCode` and `AirportName` for airports located in the city of ""Anthony.""",ok,"This SQL query retrieves the airport code and name of airports located in the city ""Anthony"".",ok,This query retrieves the airport codes and names of airports located in the city of Anthony.,ok,Retrieves the airport code and name for all airports located in the city of Anthony.,ok
SELECT count(DISTINCT current_address_id) FROM Students,How many different addresses do the students currently live?,The query counts the number of unique current address IDs associated with students in the Students table,ok,The query counts the number of distinct `current_address_id` values in the `Students` table.,ok,This SQL query counts the number of unique current addresses of students.,ok,This query counts the number of distinct current addresses among students.,ok,Counts the number of unique current address IDs among all students.,ok
SELECT T1.City FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport GROUP BY T1.City ORDER BY count(*) DESC LIMIT 1,Which city has most number of arriving flights?,"The query identifies the city with the most incoming flights, using a join between the AIRPORTS and FLIGHTS tables",ok,The query retrieves the city with the highest number of flights arriving at its airports.,ok,This SQL query retrieves the city with the most flights.,ok,This query retrieves the city with the most flights as a destination.,ok,This query finds the city with the most arriving flights,ok
SELECT Name FROM teacher ORDER BY Age ASC,List the names of teachers in ascending order of age.,"The query lists the names of teachers, ordered by age from youngest to oldest, from the teacher table",ok,"The query retrieves the names of teachers, ordered by age in ascending order.",ok,"This SQL query retrieves the names of teachers, sorted in ascending order by their age.",ok,"This query retrieves the names of teachers, ordered by age in ascending order.",ok,Lists teacher names sorted by age in ascending order.,ok
"SELECT Airline FROM AIRLINES WHERE Abbreviation  =  ""UAL""",Which airline has abbreviation 'UAL'?,"The query retrieves the name of the airline with the abbreviation ""UAL"" from the AIRLINES table",ok,"The query retrieves the `Airline` name for the airline with the abbreviation ""UAL.""",ok,"This SQL query retrieves the name of the airline with the abbreviation ""UAL"".",ok,"This query retrieves the airline name with the abbreviation ""UAL"".",ok,"Retrieves the airline name for the airline with the abbreviation ""UAL"".",ok
SELECT avg(age) FROM Dogs,What is the average age of all the dogs?,The query calculates the average age of dogs in the Dogs table,ok,The query calculates the average age of dogs in the database.,ok,This SQL query calculates the average age of dogs.,ok,This query calculates the average age of dogs.,ok,Calculates the average age of all dogs in the dataset.,ok
"SELECT min(Number_products) ,  max(Number_products) FROM shop",find the minimum and maximum number of products of all stores.,The query retrieves the minimum and maximum number of products available across all shops in the shop table,ok,The query retrieves the minimum and maximum values for the number of products in the shop.,ok,This SQL query retrieves the minimum and maximum number of products in a shop.,ok,This query retrieves the minimum and maximum number of products in the `shop` table.,ok,This query finds the minimum and maximum number of products among all shops.,ok
"SELECT DISTINCT T1.first_name ,  T1.middle_name ,  T1.last_name FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id JOIN Degree_Programs AS T3 ON T2.degree_program_id  =  T3.degree_program_id WHERE T3.degree_summary_name  =  'Bachelor'","Who is enrolled in a Bachelor degree program? List the first name, middle name, last name.","The query retrieves distinct first names, middle names, and last names of students enrolled in Bachelor's degree programs, using joins between the Students, Student_Enrolment, and Degree_Programs tables",ok,"The query retrieves distinct first, middle, and last names of students enrolled in degree programs with the name 'Bachelor'.",ok,"This SQL query retrieves the distinct first name, middle name, and last name of students enrolled in a Bachelor's degree program.",ok,"This query retrieves the distinct first names, middle names, and last names of students enrolled in Bachelor degree programs.",ok,Retrieves the unique full names of students enrolled in Bachelor degree programs.,ok
"SELECT T1.Name ,  T2.Orchestra FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID",Show the names of conductors and the orchestras they have conducted.,The query retrieves the names of conductors along with the orchestras they conduct by joining the conductor and orchestra tables on the conductor ID,ok,The query retrieves the names of conductors and the orchestras they are associated with.,ok,This SQL query retrieves the name of conductors and the orchestra they belong to.,ok,This query retrieves the names of conductors and the orchestras they conduct.,ok,This query retrieves the name of each conductor and the orchestra they conduct for,ok
"SELECT count(*) FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id WHERE T2.name  =  ""Kyle""",How many friends does the high school student Kyle have?,"The query counts the number of friends associated with a high schooler named ""Kyle,"" using a join between the Friend and Highschooler tables",ok,"The query counts the number of friends of high schoolers named ""Kyle.""",ok,"This SQL query counts the number of friends of the high schooler named ""Kyle"".",ok,"This query counts the number of friends that a high schooler named ""Kyle"" has.",ok,This query counts the number of friends Kyle has who are also high schoolers.,ok
SELECT  T1.course_name FROM Courses AS T1 JOIN Student_Enrolment_Courses AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_name ORDER BY count(*) DESC LIMIT 1,What's the name of the course with most number of enrollments?,The query identifies the most enrolled course by joining the Courses and Student_Enrolment_Courses tables and grouping the results by course name,ok,The query retrieves the name of the course with the highest number of enrollments.,ok,This SQL query retrieves the course name with the most students enrolled.,ok,This query retrieves the course name with the highest number of student enrollments.,ok,Finds the most popular course.,ok
"SELECT Name FROM country ORDER BY Population DESC LIMIT 3\tworld_1', 'SELECT T2.name FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id INTERSECT SELECT T2.name FROM Likes AS T1 JOIN Highschooler AS T2 ON T1.liked_id  =  T2.id",What are names of countries with the top 3 largest population?,"This SQL query retrieves the names of the top three most populous countries from the country table, ordered by population in descending order.",ok,The query retrieves the names of the top three countries by population.,ok,"This SQL query retrieves the names of the top 3 countries by population, in descending order.",ok,"This query retrieves the names of the top 3 countries with the highest population, ordered by population in descending order.",ok,Retrieves the names of the top 3 most populated countries.,ok
"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRLINES AS T3 ON T3.uid  =  T1.Airline WHERE T2.City  =  ""Aberdeen"" AND T3.Airline  =  ""United Airlines""",How many United Airlines flights go to City 'Aberdeen'?,"The query counts the number of flights operated by ""United Airlines"" that are destined for Aberdeen, by joining the FLIGHTS, AIRPORTS, and AIRLINES tables",ok,"The query counts the number of flights operated by ""United Airlines"" that are destined for airports in the city of ""Aberdeen.""",ok,This SQL query counts the number of flights from Aberdeen to destinations served by United Airlines.,ok,This query counts the number of flights to Aberdeen operated by United Airlines.,ok,This query counts the number of flights arriving in Aberdeen operated by United Airlines.,ok
"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What is the average, minimum, and maximum age of all singers from France?","The query retrieves the number of distinct papers citing works related to the keyphrase ""NLP"" for each venue, grouped by venue ID, from a series of joined tables including paperkeyphrase, keyphrase, paper, and cite. The results are ordered by the count of distinct citing papers in descending order",ok,"The query calculates the average, minimum, and maximum ages of singers from France.",ok,"This SQL query calculates the average age, minimum age, and maximum age of singers from France.",ok,"This query calculates the average age, minimum age, and maximum age of singers from France.",ok,"Calculates the average, minimum, and maximum age of French singers.",ok
SELECT count(*) FROM premises,How many premises are there?,The query counts the total number of entries in the premises table,ok,The query counts the total number of entries in the `premises` table.,ok,This SQL query counts the total number of premises.,ok,This query counts the total number of rows in the `premises` table.,ok,This query counts the total number of rows in the premises table.,ok
SELECT T1.artist_name FROM song AS T1 JOIN files AS T2 ON T1.f_id  =  T2.f_id ORDER BY T2.duration LIMIT 1,What is the name of the artist who produced the shortest song?,"The query retrieves the name of the artist associated with the shortest song duration, using a join between the song and files tables",ok,The query retrieves the name of the artist for the song with the shortest duration.,ok,This SQL query retrieves the name of the artist who has the shortest song.,ok,This query retrieves the name of the artist with the shortest song duration.,ok,This query finds the artist name of the song with the shortest duration.,ok
"SELECT Nationality ,  COUNT(*) FROM journalist GROUP BY Nationality",Show the different nationalities and the number of journalists of each nationality.,"The query counts the number of journalists for each nationality, grouping the results by nationality in the journalist table",ok,The query counts the number of journalists for each nationality and groups the results by nationality.,ok,This SQL query counts the number of journalists by nationality.,ok,This query retrieves the count of journalists grouped by their nationality.,ok,This query counts the number of journalists for each nationality.,ok
"SELECT sportname ,  count(*) FROM Sportsinfo GROUP BY sportname",Show all sport name and the number of students.,"The query counts the number of entries for each sport, grouping the results by sport name in the Sportsinfo table",ok,The query counts the number of entries for each sport and groups the results by sport name.,ok,This SQL query counts the number of sports by sport name.,ok,"This query retrieves the count of each sport name from the `Sportsinfo` table, grouped by `sportname`.",ok,This query counts the number of occurrences of each sport name in the Sportsinfo table.,ok
SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available)  >  10),What is the average longitude of stations that never had bike availability more than 10?,"The query calculates the average longitude of stations that have never had more than 10 bikes available at any one time, using data from the station and status tables",ok,The query calculates the average longitude of stations with no status records having more than 10 bikes available.,ok,This SQL query calculates the average longitude of stations where the maximum number of bikes available is 10 or less.,ok,This query calculates the average longitude of stations that never have more than 10 bikes available.,ok,This query calculates the average longitude of stations that never have more than 10 bikes available.,ok
SELECT T2.Governor FROM election AS T1 JOIN party AS T2 ON T1.Party  =  T2.Party_ID WHERE T1.District  =  1,Who were the governors of the parties associated with delegates from district 1?,"The query retrieves the governor associated with the party that won in District 1, by joining the election and party tables on the party ID",ok,The query retrieves the governors from the party associated with district 1 in the election.,ok,This SQL query retrieves the name of the Governor in District 1.,ok,This query retrieves the governor associated with the party that won the election in District 1.,ok,This query finds the governor of the party for delegates from district 1.,ok
"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",Show location and name for all stadiums with a capacity between 5000 and 10000.,"This query retrieves the LOCATION and name of stadiums where the capacity is between 5,000 and 10,000.",ok,"The query retrieves the location and name of stadiums with a capacity between 5,000 and 10,000.",ok,This SQL query retrieves the location and name of stadiums with a capacity between 5000 and 10000.,ok,"This query retrieves the location and name of stadiums with a capacity between 5,000 and 10,000.",ok,This query retrieves the location and name of all stadiums with a capacity between 5000 and 10000.,ok
SELECT count(*) FROM inventory WHERE store_id  =  1,How many items in inventory does store 1 have?,The query counts the total number of inventory items located at store ID 1 in the inventory table,ok,The query counts the number of items in the inventory for store 1.,ok,This SQL query counts the number of items in the inventory for store ID 1.,ok,This query counts the total number of items in the inventory for the store with `store_id` equal to 1.,ok,This query counts the total number of records in the inventory table for store ID 1.,ok
"SELECT name ,  price FROM products",Select the names and the prices of all the products in the store.,The query retrieves the names and prices of all products from the products table,ok,The query retrieves the name and price of all products.,ok,This SQL query retrieves the name and price of products.,ok,This query retrieves the name and price of all products.,ok,This query retrieves the name and price of all products from the products table.,ok
SELECT name FROM projects WHERE hours BETWEEN 100 AND 300,Find the name of projects that require between 100 and 300 hours of work.,The query retrieves the names of projects where the number of hours spent is between 100 and 300 from the projects table,ok,The query retrieves the names of projects that require between 100 and 300 hours.,ok,This SQL query retrieves the names of projects that have between 100 and 300 hours.,ok,This query retrieves the names of projects that have hours between 100 and 300.,ok,This query retrieves the names of all projects with estimated hours between 100 and 300.,ok
"SELECT product_details FROM products WHERE product_details LIKE ""%Latte%"" OR product_details LIKE ""%Americano%""","Find the detail of products whose detail contains the word ""Latte"" or the word ""Americano""","The query retrieves details of products that contain the terms ""Latte"" or ""Americano"" in their descriptions from the products table",ok,"The query retrieves product details for products that include ""Latte"" or ""Americano"" in their descriptions.",ok,"This SQL query retrieves the product details of products that contain the words ""Latte"" or ""Americano"" in their description.",ok,"This query retrieves the product details of products that contain the words ""Latte"" or ""Americano"" in their product details.",ok,"This query retrieves the product details of all products containing either ""Latte"" or ""Americano"" in their description.",ok
"SELECT population FROM state WHERE state_name  =  ""california"";",how many people live in california,"The query retrieves the population of the state named ""California"" from the state table",ok,The query retrieves the population of the state of California.,ok,"This SQL query retrieves the population of the state named ""California"".",ok,"This query retrieves the population of the state named ""California"".",ok,"This query retrieves the population of the state named ""California"".",ok
"SELECT count(*) ,  cName FROM tryout GROUP BY cName ORDER BY count(*) DESC",Find the number of students who participate in the tryout for each college ordered by descending count.,"The query counts the number of entries for each unique cName in the tryout table, ordering the results by count in descending order",ok,The query counts and lists `cName` values in descending order of their frequency.,ok,This SQL query counts the number of tryouts for each company (cName) and orders the results in descending order by count.,ok,This query counts the number of tryouts for each `cName` and orders the results by the count in descending order.,ok,Counts the occurrences of each unique value in the 'cName' column.,did not mention tryout
"SELECT Appelation FROM WINE WHERE YEAR  >  2008 EXCEPT SELECT Appelation FROM APPELLATIONS WHERE Area  =  ""Central Coast""",Find the appelations that produce wines after the year of 2008 but not in Central Coast area.,"The query retrieves the appellations of wines from the WINE table for vintages after 2008, excluding those from the ""Central Coast"" area listed in the APPELLATIONS table",ok,The query retrieves wine appellations from years after 2008 that are not in the Central Coast area.,ok,"This SQL query retrieves the Appelation of wines produced after 2008, except for those from the Central Coast region.",ok,"This query retrieves the appellations of wines produced after the year 2008, excluding those appellations that are located in the ""Central Coast"" area.",ok,"Retrieves appellations for wines produced after 2008, excluding those from the Central Coast region.",ok
SELECT T1.title FROM albums AS T1 JOIN tracks AS T2 ON T1.id = T2.album_id GROUP BY T1.id HAVING count(T1.id)  >  10;,List title of albums have the number of tracks greater than 10.,"The query retrieves the titles of albums that contain more than 10 tracks, by joining the albums and tracks tables and grouping the results by album ID",ok,The query retrieves album titles with more than 10 tracks.,ok,This SQL query retrieves the titles of albums that have more than 10 tracks.,ok,This query retrieves the titles of albums that have more than 10 tracks.,ok,This query finds albums with more than 10 tracks,ok
"SELECT T1.vehicle_id ,  T1.vehicle_details FROM Vehicles AS T1 JOIN Lessons AS T2 ON T1.vehicle_id  =  T2.vehicle_id GROUP BY T1.vehicle_id ORDER BY count(*) DESC LIMIT 1",What is the id and detail of the vehicle used in lessons for most of the times?,"The query identifies the vehicle with the most lessons recorded, retrieving the vehicle ID and details by joining the Vehicles and Lessons tables and grouping the results by vehicle ID",ok,The query retrieves the vehicle ID and details for the most frequently used vehicle in lessons.,ok,This SQL query retrieves the vehicle ID and vehicle details of the vehicle that has been used for the most lessons.,ok,This query retrieves the `vehicle_id` and `vehicle_details` of the vehicle that has been used in the most lessons.,ok,Finds the vehicle with the most lessons.,ok
"SELECT name ,  height ,  prominence FROM mountain WHERE range != 'Aberdare Range'","What are the name, height and prominence of mountains which do not belong to the range 'Aberdare Range'?","The query retrieves the names, heights, and prominence values of mountains that are not part of the 'Aberdare Range' from the mountain table",ok,"The query retrieves the name, height, and prominence of mountains not in the 'Aberdare Range'.",ok,"This SQL query retrieves the name, height, and prominence of mountains that are not part of the Aberdare Range.",ok,"This query retrieves the name, height, and prominence of mountains that are not in the 'Aberdare Range'.",ok,"Lists mountains, their height, and prominence, excluding those in the Aberdare Range.",ok
SELECT Team FROM technician GROUP BY Team HAVING COUNT(*)  >=  2,Show the team that have at least two technicians.,The query lists the teams in the technician table that consist of two or more members,ok,The query retrieves teams with 2 or more technicians.,ok,This SQL query retrieves the teams that have at least 2 technicians.,ok,This query retrieves the names of teams that have at least 2 technicians.,ok,Lists teams with at least 2 technicians.,ok
SELECT T1.Aircraft FROM aircraft AS T1 JOIN MATCH AS T2 ON T1.Aircraft_ID  =  T2.Winning_Aircraft GROUP BY T2.Winning_Aircraft HAVING COUNT(*)  >=  2,List the names of aircrafts and that won matches at least twice.,"The query retrieves the aircraft models that have won two or more matches, by joining the aircraft and MATCH tables and grouping by the winning aircraft ID",ok,The query retrieves aircraft names that have won at least 2 matches.,ok,This SQL query retrieves the aircraft that have won at least 2 matches.,ok,This query retrieves the names of aircraft that have won at least 2 matches.,ok,Lists aircraft that have won at least 2 matches.,ok
SELECT Name FROM TRACK WHERE Name LIKE '%you%',"Find the names of all the tracks that contain the word ""you"".","The query retrieves the names of tracks that contain the word ""you"" from the TRACK table",ok,"The query retrieves track names that contain the word ""you"".",ok,"This SQL query retrieves the names of tracks that contain the word ""you"".",ok,"This query retrieves the names of tracks that contain the word ""you"" anywhere in their name.",ok,"Retrieves track names containing the word ""you"".",ok
SELECT zip_code FROM weather GROUP BY zip_code HAVING avg(mean_visibility_miles)  <  10,Find the zip code in which the average mean visibility is lower than 10.,"The query lists zip codes where the average visibility is less than 10 miles, based on data from the weather table",ok,The query retrieves zip codes with an average mean visibility of less than 10 miles.,ok,This SQL query retrieves the zip codes that have an average mean visibility of less than 10 miles.,ok,This query retrieves the zip codes where the average mean visibility is less than 10 miles.,ok,Finds zip codes with average visibility less than 10 miles.,ok
"SELECT T1.problem_description FROM problems AS T1 JOIN staff AS T2 ON T1.reported_by_staff_id = T2.staff_id WHERE T2.staff_first_name = ""Christop""",Give me a list of descriptions of the problems that are reported by the staff whose first name is Christop.,"The query retrieves problem descriptions reported by a staff member named ""Christop,"" using a join between the problems and staff tables",ok,"The query retrieves problem descriptions reported by staff members named ""Christop.""",ok,"This SQL query retrieves the problem descriptions reported by staff member ""Christop"".",ok,"This query retrieves the problem descriptions reported by a staff member whose first name is ""Christop"".",ok,Retrieves problem descriptions reported by staff member named Christop.,ok
