SQL Statement,Modified_Statement,Original,Error_Category
"SELECT  first.s,  second.s,  third.s FROM  [354].[small_graph] first ,  [354].[small_graph] second ,  [354].[small_graph] third WHERE  first.d = second.s AND  second.d = third.s AND  third.d = first.s AND  first.s < second.s AND  second.s < third.s","SELECT  first.s,  second.s,  third.s FROM  [354].[small_graph] first ,  [354].[small_graph] second ,  [354].[small_graph] third WHERE  first.d = second.s AND  second.d = third.s AND  third.d = first.s AND  first.s < second.s AND  second.s < third.s",NO,NO Error
"select count(distinct substring([protein code-1],  7,  7)) from [xstal_tracker.csv] where [protein code-1] like 'Myth%'  group by  [data set?], [diffraction?], [crystals?]","SELECT 
    count(distinct substring(d.[protein code-1], 7, 7)) 
FROM 
    [xstal_tracker.csv] 
WHERE 
    d.[protein code-1] LIKE 'Myth%'  
GROUP BY  
    x.[data set?], x.[diffraction?], x.[crystals?];",YES,alias-undefined
SELECT  * FROM  [446].[V2_LineP_nutrients_formatted.csv] Where station = 'P1',"SELECT * 
FROM [446].[V2_LineP_nutrients_formatted.csv] 
WHERE station = 'P1'
HAVING COUNT(station) > 1;",YES,aggr-having
"select u.[ec numbers] as enzyme,  a.* from report_anacor a join [uniprot_enzyme_map.csv] u on (u.accession = a.uniprot)","SELECT 
    z.[ec numbers] as enzyme,  
    a.* 
FROM 
    report_anacor a 
JOIN 
    [uniprot_enzyme_map.csv] u 
ON 
    (u.accession = a.uniprot);",YES,alias-undefined
"SELECT   survey_institution, app_bio_female FROM  [813].[oser11.csv]","SELECT survey_institution, CAST(app_bio_female AS INT) AS app_bio_female
FROM [813].[oser11.csv];",YES,type-mismatch-condition
"SELECT  oyster.groupid ,  COUNT(*) as methcnt FROM  [354].[oyster.v9.glean.final.rename.mRNA.gff] oyster , [354].[cni1319n_oyster_v9_M_fuzznuc_CG.gff] allcg WHERE  oyster.seqname=allcg.seqname AND  (oyster.startidx > allcg.startidx AND  oyster.startidx < allcg.endidx OR  allcg.startidx > oyster.startidx AND  allcg.startidx < oyster.endidx) GROUP BY  oyster.groupid","SELECT oyster.groupid, 
       COUNT(*) AS methcnt 
FROM [354].[oyster.v9.glean.final.rename.mRNA.gff] oyster, 
     [354].[cni1319n_oyster_v9_M_fuzznuc_CG.gff] allcg 
WHERE oyster.seqname = allcg.seqname 
  AND (oyster.startidx > allcg.startidx 
       AND oyster.startidx < allcg.endidx 
       OR allcg.startidx > oyster.startidx 
       AND allcg.startidx < oyster.endidx) 
GROUP BY oyster.groupid 
HAVING COUNT(allcg.seqname) > 10;",YES,aggr-having
"SELECT  CONVERT(VARCHAR,  [time],  126) as [time],  lat,  lon,  salinity,  ocean_tmp,  par FROM  [1059].[SFL_VIEW] ORDER BY  [time] ASC","SELECT  CONVERT(VARCHAR,  [time],  126) as [time],  lat,  lon,  salinity,  ocean_tmp,  par FROM  [1059].[SFL_VIEW] ORDER BY  [time] ASC",NO,NO Error
"SELECT isnull(a.row_num, isnull(b.row_num, null) ) as row , isnull(a.column_num, isnull(b.column_num, null) ) as row , a.row_num, a.column_num, b.row_num, b.column_num  ,  a.value ,  b.value, a.value + b.value sum_value FROM [187].[table_Matrix A.txt]  A full outer join [187].[table_Matrix B.txt] B on A.row_num = B.row_num and A.column_num  = b.column_num","SELECT 
  ISNULL(a.row_num, ISNULL(b.row_num, NULL)) AS final_row_num,
  ISNULL(a.column_num, ISNULL(b.column_num, NULL)) AS final_column_num,
  a.row_num AS a_row_num,
  a.column_num AS a_column_num,
  b.row_num AS b_row_num,
  b.column_num AS b_column_num,
  a.value AS a_value,
  b.value AS b_value,
  a.value + b.value AS sum_value
FROM [187].[table_Matrix A.txt] A
FULL OUTER JOIN [187].[table_Matrix B.txt] B
  ON A.row_num = (SELECT row_num FROM [187].[table_Matrix A.txt]) AND A.column_num = B.column_num;",YES,type-mismatch-nested
SELECT  * FROM  [1123].[Pgen_blastx_uniprot_sql.tab]ann left join [1123].[uniprot-reviewed_wGO_010714]uni on ann.Column3 = uni.Entry,SELECT  * FROM  [1123].[Pgen_blastx_uniprot_sql.tab] ann left join [1123].[uniprot-reviewed_wGO_010714] uni on ann.Column3 = uni.Entry,NO,NO Error
SELECT  * FROM  [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)] where CGI_ID = 'CGI_10009035',"SELECT * 
FROM [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)]
WHERE CGI_ID = (SELECT CGI_ID FROM [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)]);",YES,type-mismatch-nested
SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [412].[CG2 unique peps > 1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG2 unique peps > 1].[All Proteins] LEFT JOIN  [412].[CG5 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG5 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG8 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG8 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG11 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG11 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG26 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG26 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG29 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG29 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG32 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG32 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG35 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG35 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG221 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG221 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG224 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG224 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG227 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG227 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG230 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG230 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG242 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG242 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG245 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG245 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG248 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG248 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG251 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG251 unique peps >1].[All Proteins],"SELECT 
    AVG([412].[all sequenced proteins all treatments.txt].[All Proteins]) -- Misusing AVG() on a likely NOn-numeric column
FROM 
    [412].[all sequenced proteins all treatments.txt]
LEFT JOIN 
    [412].[CG2 unique peps > 1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG2 unique peps > 1].[All Proteins]
LEFT JOIN 
    [412].[CG5 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG5 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG8 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG8 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG11 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG11 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG26 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG26 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG29 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG29 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG32 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG32 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG35 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG35 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG221 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG221 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG224 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG224 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG227 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG227 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG230 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG230 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG242 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG242 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG245 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG245 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG248 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG248 unique peps >1].[All Proteins]
LEFT JOIN 
    [412].[CG251 unique peps >1] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[CG251 unique peps >1].[All Proteins];",YES,aggr-attribute
"SELECT  spectrum AS [spectrum56], start_scan AS start_scan56, expect AS expect56, peptide AS peptide56, protein AS protein56 FROM  [412].[table_BactDetection56.pep.txt]","SELECT  spectrum AS [spectrum56], start_scan AS start_scan56, expect AS expect56, peptide AS peptide56, protein AS protein56 FROM  [412].[table_BactDetection56.pep.txt]",NO,NO Error
select * FROM ['[1123].[QDOD'] WHERE  c.school_code BETWEEN 1000 AND  2000,select * FROM ['[1123].[QDOD'] WHERE  c.school_code BETWEEN 1000 AND  2000,NO,NO Error
SELECT  * FROM  [299].[seastar_clc_uniprot_sprot_2.tab]blast Left join [1123].[uniprot-reviewed_wGO_010714]unp on blast.Column3=unp.Entry Where Pathway like 'cell',"SELECT * 
FROM [299].[seastar_clc_uniprot_sprot_2.tab] AS blast
LEFT JOIN [1123].[uniprot-reviewed_wGO_010714] AS unp
  ON blast.Column3 = (SELECT Entry FROM [1123].[uniprot-reviewed_wGO_010714])
WHERE Pathway LIKE '%cell%';",YES,type-mismatch-nested
select distinct conf_id from [1143].tbl_organizer,select distinct conf_id from [1143].tbl_organizer,NO,NO Error
SELECT  TOP 1 * FROM  Paired ORDER BY  [DateTime] DESC,SELECT  TOP 1 * FROM  Paired x ORDER BY  y.[DateTime] DESC;,YES,alias-undefined
SELECT  MAX(x) FROM (SELECT  NULL AS x UNION ALL SELECT  1 AS x) y,SELECT MAX(CAST(x AS VARCHAR)) FROM (SELECT NULL AS x UNION ALL SELECT 'one' AS x) y;,YES,type-mismatch-condition
"SELECT  clock ,  clock / 10000000 as clock_millions ,  (clock) as log_clock ,  issues,  ticks,  m2issues,  m1issues ,  issues/ticks as issues_per_tick ,  memrefs/ticks as memrefs_per_tick ,  phantoms/ticks as phantoms_per_tick ,  streams/ticks as streams_per_tick FROM  ( SELECT  m1.source as source1,  m2.source as source2 ,  m1.clock as clock ,  cast((m2.clock - m1.clock) as float) as ticks ,  m2.issues as m2issues,  m1.issues as m1issues ,  (m2.issues - m1.issues)  as issues ,  (m2.memrefs - m1.memrefs)  as memrefs ,  (m2.phantoms - m1.phantoms)  as phantoms ,  (m2.streams - m1.streams)  as streams FROM  1314howe.measurement m1 ,  1314howe.measurement m2 WHERE  m2.clock > m1.clock AND  NOT EXISTS ( SELECT  clock FROM  1314howe.measurement m3 WHERE  m1.clock < m3.clock AND  m2.clock > m3.clock ) ) x ORDER BY  clock asc","SELECT 
    clock, 
    clock / 10000000 as clock_millions, 
    LOG(clock) as log_clock,  -- Assuming clock might contain zeros or negative values
    issues, 
    ticks, 
    m2issues, 
    m1issues, 
    issues / ticks as issues_per_tick, 
    CAST(memrefs AS VARCHAR) / ticks as memrefs_per_tick,  -- Error: Dividing string by number
    phantoms / ticks as phantoms_per_tick, 
    streams / ticks as streams_per_tick 
FROM 
    (SELECT 
        m1.source as source1, 
        m2.source as source2, 
        m1.clock as clock, 
        CAST((m2.clock - m1.clock) as float) as ticks, 
        m2.issues as m2issues, 
        m1.issues as m1issues, 
        (m2.issues - m1.issues) as issues, 
        (m2.memrefs - m1.memrefs) as memrefs, 
        (m2.phantoms - m1.phantoms) as phantoms, 
        (m2.streams - m1.streams) as streams 
     FROM 
        1314howe.measurement m1, 
        1314howe.measurement m2 
     WHERE 
        m2.clock > m1.clock 
        AND NOT EXISTS 
            (SELECT clock FROM 1314howe.measurement m3 WHERE m1.clock < m3.clock AND m2.clock > m3.clock)
    ) x 
ORDER BY 
    clock asc;",YES,type-mismatch-condition
SELECT  * FROM  [1317].[COFFEEEEEEEEEE] where value >1000 and price >.15 and year >1900,"SELECT  * 
FROM  [1317].[COFFEEEEEEEEEE] c
WHERE  d.value > 1000 AND e.price > .15 AND f.year > 1900;",YES,alias-undefined
"SELECT  Column1 as time, Column2-1 as doNOr_idx, Column3 as acceptor_idx, Column4 as doNOr_resnm, Column5 as doNOr_resid, Column6 as doNOr_atom, Column7 as acceptor_resnm, Column8 as acceptor_resid, Column9 as acceptor_atom, Column10 as distance, Column11 as angle from Article ","SELECT 
    Column1 as time, 
    CAST(Column2 AS VARCHAR) - 1 as doNOr_idx, -- Error: Subtracting an integer from a string
    Column3 as acceptor_idx, 
    Column4 as doNOr_resnm, 
    Column5 as doNOr_resid, 
    Column6 as doNOr_atom, 
    Column7 as acceptor_resnm, 
    Column8 as acceptor_resid, 
    Column9 as acceptor_atom, 
    CAST(Column10 AS VARCHAR) as distance, -- Potential error if distance calculations are expected
    CAST(Column11 AS VARCHAR) as angle -- Potential error if angle calculations are needed
FROM 
    Article;",YES,type-mismatch-condition
"SELECT * max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE job_title like '%RESEAR%PRINCI%' job_title like 'ASSISTANT PROFESSOR ' name like '%balazinska%' AND  job_title NOt like '%APL%' AND  salary < 112800 ORDER BY  salary desc","SELECT MAX(salary), 
       MIN(salary), 
       AVG(salary), 
       COUNT(*)
FROM (
    SELECT Name, 
           [Job Title] AS job_title, 
           [2010 Gross Earnings] AS salary 
    FROM [1314howe].[uw_salaries_2011.txt]
) x
WHERE job_title LIKE '%RESEAR%PRINCI%' 
  AND job_title LIKE 'ASSISTANT PROFESSOR ' 
  AND Name LIKE '%balazinska%' 
  AND job_title NOT LIKE '%APL%' 
  AND salary < 112800
HAVING AVG(salary) > 100000
ORDER BY salary DESC;",YES,aggr-having
"SELECT term_id, tf, D, docs_with_T , log(D)-log(docs_with_T) as idf , tf * (log(D)-log(docs_with_T)) as [tf-idf] FROM ( SELECT term_id, SUM(frequency) as tf , (SELECT  COUNT(distinct doc_id) FROM  [1314howe].[reuters_terms.csv]) as D , COUNT(*) as docs_with_T FROM  [1314howe].[reuters_terms.csv] GROUP BY  term_id ) a ORDER BY  [tf-idf] desc","SELECT term_id, 
       tf, 
       D, 
       docs_with_T, 
       LOG(D) - LOG(docs_with_T) AS idf, 
       tf * (LOG(D) - LOG(docs_with_T)) AS [tf-idf]
FROM (
    SELECT term_id, 
           SUM(frequency) AS tf, 
           (SELECT COUNT(DISTINCT doc_id) FROM [1314howe].[reuters_terms.csv]) AS D, 
           COUNT(*) AS docs_with_T 
    FROM [1314howe].[reuters_terms.csv] 
    GROUP BY term_id
) a
HAVING SUM(frequency) > 1000 
ORDER BY [tf-idf] DESC;",YES,aggr-having
select (66),select (66),NO,NO Error
SELECT  * FROM  [412].[bact detection distinct peptides] LEFT JOIN  [412].[interact-2015_May_6_Bacteria_Detection9.pep.xls] ON [412].[bact detection distinct peptides].peptide=[interact-2015_May_6_Bacteria_Detection9.pep.xls].peptide,"SELECT 
    AVG([interact-2015_May_6_Bacteria_Detection9.pep.xls].someColumn) AS AvgColumn, -- Assuming someColumn is numeric, using AVG without GROUP BY
    * 
FROM 
    [412].[bact detection distinct peptides] 
LEFT JOIN 
    [412].[interact-2015_May_6_Bacteria_Detection9.pep.xls] 
    ON [412].[bact detection distinct peptides].peptide = [interact-2015_May_6_Bacteria_Detection9.pep.xls].peptide;",YES,aggr-attribute
"WITH  Numbered AS (SELECT  [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [DateTime] ASC) AS [Row] FROM  [1059].[SDS_VIEW]) ,  Paired AS (SELECT  a.[DateTime] AS [DateTime] ,  DATEDIFF(second,  a.[DateTime],  b.[DateTime]) AS [Elapsed (s)] ,  a.[LAT] AS [lat1deg] ,  a.[LON] AS [lon1deg] ,  b.[LAT] AS [lat2deg] ,  b.[LON] AS [lon2deg] ,  a.[LAT] * PI() / 180 AS [lat1] ,  b.[LAT] * PI() / 180  AS [lat2] ,  (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat] ,  (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] FROM  Numbered a JOIN  Numbered b ON a.[Row]+1 = b.[Row]) ,  Trig AS (SELECT  * ,  POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val FROM  Paired) ,  Distance AS (SELECT  * ,  6378100 * 2 * atn2(sqrt(val),  sqrt(1-val)) AS [Distance (m)] FROM  Trig) SELECT  TOP 500 * ,  [Distance (m)] / NULLIF([Elapsed (s)], 0) AS [Velocity (m/s)] FROM  Distance","WITH  Numbered AS (SELECT  [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [DateTime] ASC) AS [Row] FROM  [1059].[SDS_VIEW]) ,  Paired AS (SELECT  a.[DateTime] AS [DateTime] ,  DATEDIFF(second,  a.[DateTime],  b.[DateTime]) AS [Elapsed (s)] ,  a.[LAT] AS [lat1deg] ,  a.[LON] AS [lon1deg] ,  b.[LAT] AS [lat2deg] ,  b.[LON] AS [lon2deg] ,  a.[LAT] * PI() / 180 AS [lat1] ,  b.[LAT] * PI() / 180  AS [lat2] ,  (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat] ,  (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] FROM  Numbered a JOIN  Numbered b ON a.[Row]+1 = b.[Row]) ,  Trig AS (SELECT  * ,  POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val FROM  Paired) ,  Distance AS (SELECT  * ,  6378100 * 2 * atn2(sqrt(val),  sqrt(1-val)) AS [Distance (m)] FROM  Trig) SELECT  TOP 500 * ,  [Distance (m)] / NULLIF([Elapsed (s)], 0) AS [Velocity (m/s)] FROM  Distance",NO,NO Error
"SELECT  [entry NO.] as [B1.2 entry NO.], [protein] AS [B1.2 protein], [protein probability] AS [B1.2 protein probability], [protein description] AS [B1.2 protein description], [percent coverage] AS [B1.2 percent coverage], [tot indep spectra] AS [B1.2 tot indep spectra], [percent share of spectrum IDs] AS [B1.2 percent share of spectrum IDs], [peptides] as [B1.2 peptides] FROM  [412].[table_interact-2015_May_6_Bacteria_Detection51.prot.xls]","SELECT 
    [entry NO.] as [B1.2 entry NO.], 
    [protein] AS [B1.2 protein], 
    AVG([protein probability]) AS [B1.2 protein probability], -- Misusing AVG without GROUP BY
    [protein description] AS [B1.2 protein description], 
    [percent coverage] AS [B1.2 percent coverage], 
    [tot indep spectra] AS [B1.2 tot indep spectra], 
    [percent share of spectrum IDs] AS [B1.2 percent share of spectrum IDs], 
    [peptides] as [B1.2 peptides] 
FROM  
    [412].[table_interact-2015_May_6_Bacteria_Detection51.prot.xls];",YES,aggr-attribute
"SELECT [protein] AS [protein45], [protein probability] AS [protein probability45], [percent coverage] AS [percent coverage45], [tot indep spectra] AS [tot indep spectra45], [peptides] AS [peptides45] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea45.prot.xls] WHERE  [tot indep spectra]>1","SELECT 
    x.[protein] AS [protein45], 
    x.[protein probability] AS [protein probability45], 
    x.[percent coverage] AS [percent coverage45], 
    x.[tot indep spectra] AS [tot indep spectra45], 
    x.[peptides] AS [peptides45] 
FROM  
    [412].[table_Prophet_2014_Sept_08_BeringSea45.prot.xls] 
WHERE  
    y.[tot indep spectra] > 1;",YES,alias-undefined
SELECT  * FROM  [412].[table_loadings from skyline nmds.txt] INNER JOIN  [412].[table_Cg proteome db evalue -10.txt] ON [412].[table_loadings from skyline nmds.txt].Protein=[412].[table_Cg proteome db evalue -10.txt].Protein,SELECT  * FROM  [412].[table_loadings from skyline nmds.txt] INNER JOIN  [412].[table_Cg proteome db evalue -10.txt] ON [412].[table_loadings from skyline nmds.txt].Protein=[412].[table_Cg proteome db evalue -10.txt].Protein,NO,NO Error
"select * FROM  ( select cast(month + '/' + day + '/' + year as datetime) as ddate ,  cast(substring(stime, 1, 2) as integer) as hours ,  cast(substring(stime, 3, 2) as integer) as minutes ,  cast(substring(stime, 5, 2) as integer) as seconds ,  * from ( select substring(sdate, len(sdate) - 5, 2) as day ,  substring(sdate, len(sdate) - 3, 2) as month ,  substring(sdate, len(sdate) - 1, 2) as year ,  substring(ztime, len(ztime) - 5, 6) as stime ,  * from ( select '00000' + cast(time as varchar) as ztime ,  '0' + cast(date as varchar) as sdate ,  * from [1002].[Tokyo_0_merged_data.csv] ) x ) y ) z order by timestamp","SELECT * 
FROM (
    SELECT 
        CAST(month + '/' + day + '/' + year AS DATETIME) AS ddate,
        CAST(SUBSTRING(stime, 1, 2) AS INTEGER) AS hours,
        CAST(SUBSTRING(stime, 3, 2) AS INTEGER) AS minutes,
        CAST(SUBSTRING(stime, 5, 2) AS INTEGER) AS seconds,
        *
    FROM (
        SELECT 
            SUBSTRING(sdate, LEN(sdate) - 5, 2) AS day,
            SUBSTRING(sdate, LEN(sdate) - 3, 2) AS month,
            SUBSTRING(sdate, LEN(sdate) - 1, 2) AS year,
            SUBSTRING((SELECT ztime FROM [1002].[Tokyo_0_merged_data.csv] WHERE ztime IS NOT NULL), LEN(ztime) - 5, 6) AS stime,
            *
        FROM (
            SELECT 
                '00000' + CAST(time AS VARCHAR) AS ztime,
                '0' + CAST(date AS VARCHAR) AS sdate,
                *
            FROM [1002].[Tokyo_0_merged_data.csv]
        ) x
    ) y
) z
ORDER BY timestamp;",YES,type-mismatch-nested
select * FROM  [1123].[Mgo_RNAseq_transcript],"SELECT *, CAST(Column1 AS INT) AS ConvertedColumn -- Assuming Column1 is a text column containing NOn-numeric data
FROM [1123].[Mgo_RNAseq_transcript];",YES,type-mismatch-condition
"SELECT SUM([C1A_15 SpC/L]) AS [SUM C1A_15 SpC/L], SUM([C1B_16 SpC/L]) AS [SUM C1B_16 SpC/L], SUM([C2_17 SpC/L]) AS [SUM C2_17 SpC/L], SUM([C3_18 SpC/L]) AS [SUM C3_18 SpC/L], SUM([T8A_21 SpC/L]) AS [SUM T8A_21 SpC/L], SUM([T10_22 SpC/L]) AS [SUM T10_22 SpC/L], SUM([T11_23 SpC/L]) AS [SUM T11_23 SpC/L], SUM([V13B_28 SpC/L]) AS [SUM V13B_28 SpC/L], SUM([V14_29 SpC/L]) AS [SUM V14_29 SpC/L], SUM([V17_30 SpC/L]) AS [SUM V17_30 SpC/L], SUM([VT21_33 SpC/L]) AS [SUM VT21_33 SpC/L], SUM([VT22_34 SpC/L]) AS [SUM VT22_34 SpC/L], SUM([VT23_35 SpC/L]) AS [SUM VT23_35 SpC/L], SUM([C2_41 SpC/L]) AS [SUM C2_41 SpC/L], SUM([C1A_42 SpC/L]) AS [SUM C1A_42 SpC/L], SUM([C3_43 SpC/L]) AS [SUM C3_43 SpC/L], SUM([T10_46 SpC/L]) AS [SUM T10_46 SpC/L], SUM([T8A_47 SpC/L]) AS [SUM T8A_47 SpC/L], SUM([T11_50 SpC/L]) AS [SUM T11_50 SpC/L], SUM([VT23_53 SpC/L]) AS [SUM VT23_53 SpC/L], SUM([VT21_54 SpC/L]) AS [SUM VT21_54 SpC/L], SUM([VT22_55 SpC/L]) AS [SUM VT22_55 SpC/L] FROM  [412].[Macoma individual SpC-L]","SELECT 
    [Sample ID],  -- NOn-aggregated column added without GROUP BY clause
    SUM([C1A_15 SpC/L]) AS [SUM C1A_15 SpC/L], 
    SUM([C1B_16 SpC/L]) AS [SUM C1B_16 SpC/L], 
    SUM([C2_17 SpC/L]) AS [SUM C2_17 SpC/L], 
    SUM([C3_18 SpC/L]) AS [SUM C3_18 SpC/L], 
    SUM([T8A_21 SpC/L]) AS [SUM T8A_21 SpC/L], 
    SUM([T10_22 SpC/L]) AS [SUM T10_22 SpC/L], 
    SUM([T11_23 SpC/L]) AS [SUM T11_23 SpC/L], 
    SUM([V13B_28 SpC/L]) AS [SUM V13B_28 SpC/L], 
    SUM([V14_29 SpC/L]) AS [SUM V14_29 SpC/L], 
    SUM([V17_30 SpC/L]) AS [SUM V17_30 SpC/L], 
    SUM([VT21_33 SpC/L]) AS [SUM VT21_33 SpC/L], 
    SUM([VT22_34 SpC/L]) AS [SUM VT22_34 SpC/L], 
    SUM([VT23_35 SpC/L]) AS [SUM VT23_35 SpC/L], 
    SUM([C2_41 SpC/L]) AS [SUM C2_41 SpC/L], 
    SUM([C1A_42 SpC/L]) AS [SUM C1A_42 SpC/L], 
    SUM([C3_43 SpC/L]) AS [SUM C3_43 SpC/L], 
    SUM([T10_46 SpC/L]) AS [SUM T10_46 SpC/L], 
    SUM([T8A_47 SpC/L]) AS [SUM T8A_47 SpC/L], 
    SUM([T11_50 SpC/L]) AS [SUM T11_50 SpC/L], 
    SUM([VT23_53 SpC/L]) AS [SUM VT23_53 SpC/L], 
    SUM([VT21_54 SpC/L]) AS [SUM VT21_54 SpC/L], 
    SUM([VT22_55 SpC/L]) AS [SUM VT22_55 SpC/L]
FROM  
    [412].[Macoma individual SpC-L];",YES,aggr-attribute
select * from Glycerol_Stocks_Locations where Target_name like 'MytuD.00010.a.A1%',"SELECT * 
FROM Glycerol_Stocks_Locations 
WHERE Target_name LIKE 'MytuD.00010.a.A1%'
HAVING COUNT(Target_name) > 1;",YES,aggr-having
"create table Inproceedings (pubid int primary key,  booktitle text,  editor text)","create table Inproceedings (pubid int primary key,  booktitle text,  editor text)",NO,NO Error
SELECT  * FROM  [826].[table_thapsIT_hemizygous_genes.txt] IT join [826].[Hemi_ALL_temp] artifact on IT.proteinId != artifact.proteinId,SELECT  * FROM  [826].[table_thapsIT_hemizygous_genes.txt] IT join [826].[Hemi_ALL_temp] artifact on IT.proteinId != artifact.proteinId,NO,NO Error
"SELECT  * FROM  [1123].[RobertsLab_PrimerDatabase] Where ""Organism"" like '%gigas' or Organism like '%oyst%' AND ""Designed By"" like 'Brad%'","SELECT  * 
FROM  [1123].[RobertsLab_PrimerDatabase] r
WHERE  x.""Organism"" LIKE '%gigas' OR r.Organism LIKE '%oyst%' AND y.""Designed By"" LIKE 'Brad%';",YES,alias-undefined
SELECT  * FROM  [1123].[qDOD_Protein_Sequences] pro Left Join [1123].[qDOD_Cgigas_GO_GOslim] cgslim,SELECT  * FROM  [1123].[qDOD_Protein_Sequences] pro Left Join [1123].[qDOD_Cgigas_GO_GOslim] cgslim,NO,NO Error
