SQL_Statement,Modified_Statements,Syntax_Error_sdss,Missing_type_sdss,Missing_word_sdss,Missing Element(Generalization),Missing_position_sdss
"SELECT TOP 1_x000D_
 drp.plate as drp_plate, drp.ifudsgn as drp_ifudsgn, drp.mangaid as drp_mangaid, drp.versdrp2, drp.versdrp3, drp.srvymode, drp.objra, drp.objdec, drp.ifuglon, drp.ifuglat, drp.ifura, drp.ifudec, drp.ebvgal, drp.drp3qual, drp.bluesn2, drp.redsn2, drp.airmsmed, drp.seemed, drp.transmed, drp.rfwhm, drp.mngtarg1, drp.mngtarg2, drp.mngtarg3, drp.ifudesignsize, drp.ifutargetsize, drp.z as drp_z, drp.zmin, drp.zmax, drp.nsa_z as drp_nsa_z, drp.nsa_zdist, drp.nsa_sersic_absmag_r, drp.nsa_elpetro_absmag_r, drp.nsa_elpetro_amivar_r, drp.nsa_sersic_mass, drp.nsa_elpetro_mass, drp.nsa_elpetro_ba, drp.nsa_elpetro_phi, drp.nsa_extinction_r, drp.nsa_elpetro_th50_r, drp.nsa_petro_th50, drp.nsa_petro_flux_r, drp.nsa_petro_flux_ivar_r, drp.nsa_elpetro_flux_r, drp.nsa_elpetro_flux_ivar_r, drp.nsa_sersic_ba, drp.nsa_sersic_n, drp.nsa_sersic_phi, drp.nsa_sersic_th50, drp.nsa_sersic_flux_r, drp.nsa_sersic_flux_ivar_r, dap.plate as dap_plate, dap.ifudesign as dap_ifudesign, dap.plateifu as dap_plateifu, dap.mangaid as dap_mangaid, dap.drpallindx, dap.dapdone, dap.ldist_z, dap.adist_z, dap.nsa_z as dap_nsa_z, dap.nsa_zdist, dap.drp3qual, dap.dapqual, dap.dapbins, dap.rcov90, dap.snr_med_r as dap_snr_med_r, dap.snr_ring_r as dap_snr_ring_r, dap.bin_rmax, dap.bin_r_n_10, dap.bin_r_snr_10, dap.stellar_z, dap.stellar_vel_lo, dap.stellar_vel_hi, dap.stellar_vel_lo_clip, dap.stellar_vel_hi_clip, dap.stellar_sigma_1re, dap.stellar_rchi2_1re_x000D_
FROM mangaDRPall AS drp_x000D_
 JOIN mangaDAPall AS dap on dap.mangaid = drp.mangaid_x000D_
WHERE _x000D_
 drp.mangaid = '1-245774'_x000D_
 AND_x000D_
 dap.daptype = 'HYB10-MILESHC-MASTARHC2'_x000D_
","SELECT TOP 1_x000D_
 drp.plate as drp_plate, drp.ifudsgn as drp_ifudsgn, drp.mangaid as drp_mangaid, drp.versdrp2, drp.versdrp3, drp.srvymode, drp.objra, drp.objdec, drp.ifuglon, drp.ifuglat, drp.ifura, drp.ifudec, drp.ebvgal, drp.drp3qual, drp.bluesn2, drp.redsn2, drp.airmsmed, drp.seemed, drp.transmed, drp.rfwhm, drp.mngtarg1, drp.mngtarg2, drp.mngtarg3, drp.ifudesignsize, drp.ifutargetsize, drp.z as drp_z, drp.zmin, drp.zmax, drp.nsa_z as drp_nsa_z, drp.nsa_zdist, drp.nsa_sersic_absmag_r, drp.nsa_elpetro_absmag_r, drp.nsa_elpetro_amivar_r, drp.nsa_sersic_mass, drp.nsa_elpetro_mass, drp.nsa_elpetro_ba, drp.nsa_elpetro_phi, drp.nsa_extinction_r, drp.nsa_elpetro_th50_r, drp.nsa_petro_th50, drp.nsa_petro_flux_r, drp.nsa_petro_flux_ivar_r, drp.nsa_elpetro_flux_r, drp.nsa_elpetro_flux_ivar_r, drp.nsa_sersic_ba, drp.nsa_sersic_n, drp.nsa_sersic_phi, drp.nsa_sersic_th50, drp.nsa_sersic_flux_r, drp.nsa_sersic_flux_ivar_r, dap.plate as dap_plate, dap.ifudesign as dap_ifudesign, dap.plateifu as dap_plateifu, dap.mangaid as dap_mangaid, dap.drpallindx, dap.dapdone, dap.ldist_z, dap.adist_z, dap.nsa_z as dap_nsa_z, dap.nsa_zdist, dap.drp3qual, dap.dapqual, dap.dapbins, dap.rcov90, dap.snr_med_r as dap_snr_med_r, dap.snr_ring_r as dap_snr_ring_r, dap.bin_rmax, dap.bin_r_n_10, dap.bin_r_snr_10, dap.stellar_z, dap.stellar_vel_lo, dap.stellar_vel_hi, dap.stellar_vel_lo_clip, dap.stellar_vel_hi_clip, dap.stellar_sigma_1re, dap.stellar_rchi2_1re_x000D_
FROM  AS drp_x000D_
 JOIN mangaDAPall AS dap on dap.mangaid = drp.mangaid_x000D_
WHERE _x000D_
 drp.mangaid = '1-245774'_x000D_
 AND_x000D_
 dap.daptype = 'HYB10-MILESHC-MASTARHC2'_x000D_
",YES,Missing Table,mangaDRPall,Table Name,105
" SELECT TOP 500 ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM PhotoObJ WHERE ra BETWEEN 227.12910 AND 227.41500 AND dec BETWEEN 52.45760 AND 52.63079 AND z>15.2 AND z<19.2 AND err_z<0.1 AND clean=1 ORDER BY z "," SELECT TOP 500 ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM PhotoObJ WHERE ra BETWEEN 227.12910 AND 227.41500 AND dec BETWEEN 52.45760 AND 52.63079 AND z>15.2 AND z19.2 AND err_z<0.1 AND clean=1 ORDER BY z ",YES,Missing Comparison,<,Comparison Operator,22
"SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_noqso, s.zErr_noqso, s.zWarning_noqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 221.48435013366668 AND 221.48601680033335_x000D_
 AND s.dec BETWEEN 45.91498483986667 AND 45.916651506533334_x000D_
","SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_noqso, s.zErr_noqso, s.zWarning_noqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN  AND 221.48601680033335_x000D_
 AND s.dec BETWEEN 45.91498483986667 AND 45.916651506533334_x000D_
",YES,Missing Value,221.4843501,Value,99
"SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=9430 AND s.mjd=58112 AND s.fiberid=143)","SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate= AND s.mjd=58112 AND s.fiberid=143)",YES,Missing Value,9430,Value,19
"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=4262 AND s.mjd=55482 AND s.fiberid=117)","SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d FROM PhotoObjAll AS  JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=4262 AND s.mjd=55482 AND s.fiberid=117)",YES,Missing Alias,p,alias,19
"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=5355 AND s.mjd=56009 AND s.fiberid=296)","SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d FROM PhotoObjAll AS p  SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=5355 AND s.mjd=56009 AND s.fiberid=296)",YES,Missing Keyword,JOIN,JOIN,20
"SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s.objID
    FROM SpecObj AS s
    WHERE s.objType = 6 -- Stars
    AND s.objID IN (
        SELECT f.objID
        FROM Field AS f
        WHERE f.ra BETWEEN 150 AND 160
        AND f.fieldID IN (
            SELECT fieldID
            FROM Galaxy
            WHERE petromag_r < 10
        )
    )
);","SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s.objID
    FROM SpecObj AS s
    WHERE s.objType = 6 -- Stars
    AND s.objID IN (
        SELECT f.objID
        FROM Field AS f
        WHERE f.ra BETWEEN 150 AND 160
        AND f.fieldID IN (
            SELECT fieldID
            FROM Galaxy
            WHERE petromag_r < 10
        )
    )
);",NO,N/A,N/A,N/A,0
"SELECT q.*
FROM SpecObj AS q
WHERE q.class = 'QSO'
AND q.z > 2.0
AND q.objID IN (
    SELECT p.objID
    FROM PhotoObj AS p
    WHERE p.petromag_g < 20
    AND p.objID IN (
        SELECT f.objID
        FROM Field AS f
        WHERE f.ra BETWEEN 100 AND 200
        AND f.dec BETWEEN -10 AND 10
    )
);","SELECT q.*
FROM SpecObj AS q
WHERE q.class = 'QSO'
AND q.z  2.0
AND q.objID IN (
    SELECT p.objID
    FROM PhotoObj AS p
    WHERE p.petromag_g < 20
    AND p.objID IN (
        SELECT f.objID
        FROM Field AS f
        WHERE f.ra BETWEEN 100 AND 200
        AND f.dec BETWEEN -10 AND 10
    )
);",YES,Missing Comparison,>,Comparison Operator,14
"SELECT g.*
FROM Galaxy AS g
WHERE g.petromag_r BETWEEN 14 AND 18
AND g.objID IN (
    SELECT s.objID
    FROM SpecObj AS s
    WHERE s.class = 'GALAXY'
    AND s.objID IN (
        SELECT p.objID
        FROM PhotoObj AS p
        WHERE p.mode = 1 -- Primary objects
        AND p.objID IN (
            SELECT f.objID
            FROM Field AS f
            WHERE f.ra BETWEEN 120 AND 180
            AND f.dec BETWEEN 0 AND 50
        )
    )
);","SELECT g.*
FROM Galaxy AS g
WHERE g.petromag_r BETWEEN 14 AND 18
AND g.objID IN (
    SELECT s.objID
    FROM SpecObj AS 
    WHERE s.class = 'GALAXY'
    AND s.objID IN (
        SELECT p.objID
        FROM PhotoObj AS p
        WHERE p.mode = 1 -- Primary objects
        AND p.objID IN (
            SELECT f.objID
            FROM Field AS f
            WHERE f.ra BETWEEN 120 AND 180
            AND f.dec BETWEEN 0 AND 50
        )
    )
);",YES,Missing Alias,s,alias,23
"SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.z > 0.5
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.petromag_r < 19
        AND s2.objID IN (
            SELECT g.objID
            FROM Galaxy AS g
            WHERE g.ra BETWEEN 180 AND 240
            AND g.dec BETWEEN -20 AND 20
            AND g.objID IN (
                SELECT f.objID
                FROM Field AS f
                WHERE f.fieldID IN (
                    SELECT fieldID
                    FROM Field
                    GROUP BY fieldID
                    HAVING COUNT(*) > 1
                )
            )
        )
    )
);","SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.z > 0.5
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.petromag_r < 19
        AND s2.objID IN (
            SELECT g.objID
            FROM Galaxy AS g
            WHERE g.ra BETWEEN 180 AND 240
            AND g.dec BETWEEN -20 AND 20
            AND g.objID IN (
                SELECT f.objID
                FROM Field AS f
                WHERE f.fieldID IN (
                    SELECT fieldID
                    FROM Field
                    GROUP BY fieldID
                    HAVING COUNT(*) > 1
                )
            )
        )
    )
);",NO,N/A,N/A,N/A,0
"SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s.objID
    FROM SpecObj AS s
    WHERE s.class = 'STAR'
    AND s.zWarning = 0
    AND s.objID IN (
        SELECT g.objID
        FROM Galaxy AS g
        WHERE g.petromag_u < 21
        AND g.objID IN (
            SELECT f.objID
            FROM Field AS f
            WHERE f.ra BETWEEN 210 AND 250
            AND f.dec BETWEEN -10 AND 10
        )
    )
);","SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s.objID
    FROM SpecObj AS s
    WHERE s.class = 'STAR'
    AND s.zWarning = 0
    AND s.objID IN (
         g.objID
        FROM Galaxy AS g
        WHERE g.petromag_u < 21
        AND g.objID IN (
            SELECT f.objID
            FROM Field AS f
            WHERE f.ra BETWEEN 210 AND 250
            AND f.dec BETWEEN -10 AND 10
        )
    )
);",YES,Missing Keyword,SELECT,SELECT,30
"SELECT g.*
FROM Galaxy AS g
WHERE g.petromag_r BETWEEN 15 AND 18
AND g.objID IN (
    SELECT s.objID
    FROM SpecObj AS s
    WHERE s.class = 'GALAXY'
    AND s.objID IN (
        SELECT f.objID
        FROM Field AS f
        WHERE f.ra BETWEEN 100 AND 150
        AND f.dec BETWEEN 0 AND 30
    )
);","SELECT g.*
FROM Galaxy AS 
WHERE g.petromag_r BETWEEN 15 AND 18
AND g.objID IN (
    SELECT s.objID
    FROM SpecObj AS s
    WHERE s.class = 'GALAXY'
    AND s.objID IN (
        SELECT f.objID
        FROM Field AS f
        WHERE f.ra BETWEEN 100 AND 150
        AND f.dec BETWEEN 0 AND 30
    )
);",YES,Missing Alias,g,alias,7
"
SELECT q.*
FROM SpecObj AS q
WHERE q.class = 'QSO'
AND q.z > 2.0
AND q.objID IN (
    SELECT p.objID
    FROM PhotoObj AS p
    WHERE p.mode = 1
    AND p.objID IN (
        SELECT g.objID
        FROM Galaxy AS g
        WHERE g.petromag_g < 20
        AND g.objID IN (
            SELECT f.objID
            FROM Field AS f
            WHERE f.ra BETWEEN 100 AND 200
            AND f.dec BETWEEN -10 AND 10
        )
    )
);","
SELECT q.*
FROM SpecObj AS q
WHERE q.class = 'QSO'
AND q.z  2.0
AND q.objID IN (
    SELECT p.objID
    FROM PhotoObj AS p
    WHERE p.mode = 1
    AND p.objID IN (
        SELECT g.objID
        FROM Galaxy AS g
        WHERE g.petromag_g < 20
        AND g.objID IN (
            SELECT f.objID
            FROM Field AS f
            WHERE f.ra BETWEEN 100 AND 200
            AND f.dec BETWEEN -10 AND 10
        )
    )
);",YES,Missing Comparison,>,Comparison Operator,14
"
SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.z > 0.5
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.petromag_r < 19
        AND s2.objID IN (
            SELECT g.objID
            FROM Galaxy AS g
            WHERE g.ra BETWEEN 180 AND 240
            AND g.dec BETWEEN -20 AND 20
            AND g.objID IN (
                SELECT f.objID
                FROM Field AS f
                WHERE f.fieldID IN (
                    SELECT fieldID
                    FROM Field
                    GROUP BY fieldID
                    HAVING COUNT(*) > 1
                )
            )
        )
    )
);","
SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.z > 0.5
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.petromag_r < 19
        AND s2.objID IN (
            SELECT g.objID
            FROM Galaxy AS g
            WHERE g.ra BETWEEN 180 AND 240
            AND g.dec BETWEEN -20 AND 20
            AND g.objID IN (
                SELECT f.objID
                FROM Field AS f
                WHERE f.fieldID IN (
                    SELECT fieldID
                    FROM Field
                    GROUP BY fieldID
                    HAVING COUNT(*) > 1
                )
            )
        )
    )
);",NO,N/A,N/A,N/A,0
"
SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.class = 'STAR'
    AND s1.zWarning = 0
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.petromag_r < 19
        AND s2.objID IN (
            SELECT g.objID
            FROM Galaxy AS g
            WHERE g.ra BETWEEN 200 AND 250
            AND g.dec BETWEEN -15 AND 15
            AND g.objID IN (
                SELECT f.objID
                FROM Field AS f
                WHERE f.fieldID IN (
                    SELECT fieldID
                    FROM Field
                    WHERE fieldID IN (
                        SELECT fieldID
                        FROM PhotoObj
                        WHERE run = 752
                    )
                )
            )
        )
    )
);","
SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.class = 'STAR'
    AND s1.zWarning = 0
    AND s1.objID IN (
        SELECT 
        FROM SpecObj AS s2
        WHERE s2.petromag_r < 19
        AND s2.objID IN (
            SELECT g.objID
            FROM Galaxy AS g
            WHERE g.ra BETWEEN 200 AND 250
            AND g.dec BETWEEN -15 AND 15
            AND g.objID IN (
                SELECT f.objID
                FROM Field AS f
                WHERE f.fieldID IN (
                    SELECT fieldID
                    FROM Field
                    WHERE fieldID IN (
                        SELECT fieldID
                        FROM PhotoObj
                        WHERE run = 752
                    )
                )
            )
        )
    )
);",YES,Missing Column,s2.objID,Column Name,31
"
SELECT g.*
FROM Galaxy AS g
WHERE g.petromag_r BETWEEN 15 AND 18
AND g.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.class = 'GALAXY'
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.z > 1.5
        AND s2.objID IN (
            SELECT p.objID
            FROM PhotoObj AS p
            WHERE p.mode = 1
            AND p.objID IN (
                SELECT f.objID
                FROM Field AS f
                WHERE f.ra BETWEEN 120 AND 160
                AND f.dec BETWEEN -10 AND 10
                AND f.fieldID IN (
                    SELECT fieldID
                    FROM PhotoObj
                    WHERE run = 756
                )
            )
        )
    )
);","
SELECT g.*
FROM Galaxy AS g
WHERE g.petromag_r BETWEEN 15 AND 18
AND g.objID IN (
    SELECT s1.objID
    FROM  AS s1
    WHERE s1.class = 'GALAXY'
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.z > 1.5
        AND s2.objID IN (
            SELECT p.objID
            FROM PhotoObj AS p
            WHERE p.mode = 1
            AND p.objID IN (
                SELECT f.objID
                FROM Field AS f
                WHERE f.ra BETWEEN 120 AND 160
                AND f.dec BETWEEN -10 AND 10
                AND f.fieldID IN (
                    SELECT fieldID
                    FROM PhotoObj
                    WHERE run = 756
                )
            )
        )
    )
);",YES,Missing Table,SpecObj,Table Name,20
"
SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.class = 'STAR'
    AND s1.zWarning = 0
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.petromag_u < 21
        AND s2.objID IN (
            SELECT g.objID
            FROM Galaxy AS g
            WHERE g.ra BETWEEN 210 AND 250
            AND g.dec BETWEEN -10 AND 10
            AND g.objID IN (
                SELECT f1.objID
                FROM Field AS f1
                WHERE f1.fieldID IN (
                    SELECT f2.fieldID
                    FROM Field AS f2
                    WHERE f2.fieldID IN (
                        SELECT f3.fieldID
                        FROM Field AS f3
                        WHERE f3.ra BETWEEN 130 AND 140
                    )
                )
            )
        )
    )
);","
SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.class = 'STAR'
    AND s1.zWarning = 0
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.petromag_u < 21
        AND s2.objID IN (
            SELECT g.objID
            FROM Galaxy AS g
            WHERE g.ra BETWEEN 210 AND 250
            AND g.dec BETWEEN -10 AND 10
            AND g.objID IN (
                SELECT f1.objID
                FROM Field AS f1
                WHERE f1.fieldID IN (
                    SELECT f2.fieldID
                    FROM Field AS f2
                    WHERE f2.fieldID IN (
                        SELECT f3.fieldID
                        FROM Field AS f3
                        WHERE f3.ra BETWEEN 130 AND 140
                    )
                )
            )
        )
    )
);",NO,N/A,N/A,N/A,0
"
SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s.objID
    FROM SpecObj AS s
    WHERE s.class = 'STAR'
    AND s.objID IN (
        SELECT f.objID
        FROM Field AS f
        WHERE f.ra BETWEEN 100 AND 150
        AND f.dec BETWEEN -10 AND 10
    )
);","
SELECT p.*
FROM PhotoObj AS p
WHERE p.objID  (
    SELECT s.objID
    FROM SpecObj AS s
    WHERE s.class = 'STAR'
    AND s.objID IN (
        SELECT f.objID
        FROM Field AS f
        WHERE f.ra BETWEEN 100 AND 150
        AND f.dec BETWEEN -10 AND 10
    )
);",YES,Missing Keyword,IN,IN,9
"
SELECT g.*
FROM Galaxy AS g
WHERE g.objID IN (
    SELECT s.objID
    FROM SpecObj AS s
    WHERE s.class = 'GALAXY'
    AND s.z > 0.5
    AND s.objID IN (
        SELECT p.objID
        FROM PhotoObj AS p
        WHERE p.mode = 1 -- Primary objects
        AND p.petromag_r < 18
    )
);","
SELECT g.*
FROM Galaxy AS g
WHERE g.objID IN (
    SELECT s.objID
    FROM SpecObj AS s
    WHERE s.class = 'GALAXY'
    AND  > 0.5
    AND s.objID IN (
        SELECT p.objID
        FROM PhotoObj AS p
        WHERE p.mode = 1
        AND p.petromag_r < 18
    )
);",YES,Missing Column,s.z,Column Name,22
"
SELECT q.*
FROM SpecObj AS q
WHERE q.class = 'QSO'
AND q.z > 2.0
AND q.objID IN (
    SELECT p.objID
    FROM PhotoObj AS p
    WHERE p.mode = 1 -- Primary objects
    AND p.objID IN (
        SELECT g.objID
        FROM Galaxy AS g
        WHERE g.petromag_g < 20
        AND g.objID IN (
            SELECT f.objID
            FROM Field AS f
            WHERE f.ra BETWEEN 150 AND 200
            AND f.dec BETWEEN -10 AND 10
        )
    )
);","
SELECT q.*
FROM SpecObj AS q
WHERE q.class = 'QSO'
AND q.z > 2.0
AND q.objID IN (
    SELECT p.objID
    FROM  AS p
    WHERE p.mode = 1 -- Primary objects
    AND p.objID IN (
        SELECT g.objID
        FROM Galaxy AS g
        WHERE g.petromag_g < 20
        AND g.objID IN (
            SELECT f.objID
            FROM Field AS f
            WHERE f.ra BETWEEN 150 AND 200
            AND f.dec BETWEEN -10 AND 10
        )
    )
);",YES,Missing Table,PhotoObj,Table Name,23
"
SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.class = 'STAR'
    AND s1.zWarning = 0
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.petromag_r < 19
        AND s2.objID IN (
            SELECT g.objID
            FROM Galaxy AS g
            WHERE g.ra BETWEEN 200 AND 250
            AND g.dec BETWEEN -15 AND 15
            AND g.objID IN (
                SELECT f.objID
                FROM Field AS f
                WHERE f.fieldID IN (
                    SELECT fieldID
                    FROM Field
                    WHERE fieldID IN (
                        SELECT fieldID
                        FROM PhotoObj
                        WHERE run = 752
                    )
                )
            )
        )
    )
);","
SELECT p.*
FROM PhotoObj AS p
WHERE p.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.class = 'STAR'
    AND s1.zWarning = 0
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.petromag_r < 19
        AND s2.objID IN (
            SELECT g.objID
            FROM Galaxy AS g
            WHERE g.ra BETWEEN 200 AND 250
            AND g.dec BETWEEN -15 AND 15
            AND g.objID IN (
                SELECT f.objID
                FROM Field AS f
                WHERE f.fieldID IN (
                    SELECT fieldID
                    FROM Field
                    WHERE fieldID IN (
                        SELECT fieldID
                        FROM PhotoObj
                        WHERE run = 752
                    )
                )
            )
        )
    )
);",NO,N/A,N/A,N/A,0
"
SELECT g.*
FROM Galaxy AS g
WHERE g.petromag_r BETWEEN 15 AND 18
AND g.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.class = 'GALAXY'
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.z > 1.5
        AND s2.objID IN (
            SELECT p.objID
            FROM PhotoObj AS p
            WHERE p.mode = 1
            AND p.objID IN (
                SELECT f.objID
                FROM Field AS f
                WHERE f.ra BETWEEN 120 AND 160
                AND f.dec BETWEEN -10 AND 10
                AND f.fieldID IN (
                    SELECT fieldID
                    FROM PhotoObj
                    WHERE run = 756
                )
            )
        )
    )
);","
SELECT g.*
FROM Galaxy AS g
WHERE g.petromag_r BETWEEN 15 AND 18
AND g.objID IN (
    SELECT s1.objID
    FROM SpecObj AS s1
    WHERE s1.class = 'GALAXY'
    AND s1.objID IN (
        SELECT s2.objID
        FROM SpecObj AS s2
        WHERE s2.z > 1.5
        AND s2.objID IN (
            SELECT p.objID
            FROM PhotoObj AS p
            WHERE p.mode = 1
            AND p.objID IN (
                SELECT f.objID
                FROM Field AS f
                WHERE f.ra BETWEEN 120 AND 160
                AND f.dec BETWEEN -10 AND 10
                AND f.fieldID IN (
                    SELECT fieldID
                    FROM PhotoObj
                    WHERE run = 756
                )
            )
        )
    )
);",NO,N/A,N/A,N/A,0
